date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,New York - Albany,New York - Rochester,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2015-10-10,13.91,6.41,9.62,11.66,12.73,7.39,7.89,9.7,10.65,18.54,12.76,16.88,6.97,9.73,10.3,8.72,9.55,11.35,14.09,6.93,9.99,7.95,9.82,7.4,12.81,10.38,6.77,9.3,8.04,6.45,8.88,8.49,8.93,7.4,8.44,12.39,6.75,10.07,10.83,10.58,9.19,21.02,8.27,14.39,7.99,12.08,13.87,8.28,6.59,9.84,10.17,11.2,9.22,7.18
2015-10-17,8.41,6.34,9.73,7.53,15.45,3.72,7.38,8.03,8.29,19.2,9.31,19.21,4.8,6.11,5.99,5.73,6.49,7.11,10.93,7.66,7.75,7.88,6.67,5.84,7.52,6.29,3.95,6.26,8.76,6.83,7.79,5.0,8.03,6.97,7.07,9.64,5.11,6.93,7.46,9.88,7.58,21.07,8.1,11.87,5.79,7.43,11.99,5.55,6.69,7.45,9.28,7.39,6.05,3.8
2015-10-24,8.9,5.55,9.97,9.51,13.23,5.99,5.3,6.38,6.95,16.77,8.26,18.16,7.9,7.49,6.86,7.37,8.56,7.59,13.06,5.32,6.29,5.5,6.25,6.7,9.28,7.95,5.93,8.09,7.85,5.28,5.54,7.47,5.87,5.37,6.1,7.12,5.66,5.99,9.75,9.75,5.94,20.22,5.87,9.73,7.24,7.53,14.55,7.47,4.54,5.96,9.37,7.0,7.13,5.75
2015-10-31,11.76,4.77,7.76,10.88,10.11,4.41,6.34,8.09,8.55,18.84,11.04,17.57,6.22,6.67,6.58,5.86,5.9,8.22,15.66,6.31,8.15,6.66,6.72,6.39,13.48,7.18,4.95,5.94,5.07,5.6,7.28,5.43,7.24,6.02,6.16,10.6,5.92,6.45,7.83,9.93,7.64,20.35,6.84,13.9,5.51,9.65,14.14,5.27,5.22,8.03,9.46,7.78,6.63,4.16
2015-11-07,15.99,3.91,6.13,11.95,8.0,3.55,8.24,10.2,10.8,20.13,14.5,18.03,5.12,8.51,8.84,7.72,8.33,10.35,16.58,7.47,9.99,8.5,8.11,7.45,15.42,9.34,4.28,8.0,4.41,6.91,9.74,4.72,9.85,7.63,7.54,13.85,5.95,8.18,9.72,7.98,10.0,20.95,8.95,17.0,6.87,12.28,16.25,4.34,6.97,9.85,7.58,9.95,8.1,3.47
2015-11-14,8.2,2.93,3.63,6.9,6.27,2.86,5.75,6.9,6.64,20.11,7.73,16.69,4.55,4.76,4.93,4.65,5.16,5.5,10.69,5.26,6.59,5.94,5.53,4.72,8.88,5.0,3.14,4.99,3.35,5.09,6.55,3.38,6.54,5.84,6.06,7.47,4.92,5.57,6.07,7.91,6.63,20.51,6.15,10.76,4.77,6.1,10.81,3.88,5.17,6.06,7.5,5.48,4.76,2.71
2015-11-21,8.53,1.75,4.74,8.07,6.15,3.01,4.86,6.28,6.66,19.54,7.85,17.39,3.81,5.75,5.33,5.75,6.17,5.94,11.91,4.87,6.14,5.14,5.19,5.63,9.58,6.06,2.73,5.96,3.15,4.32,5.99,4.05,5.96,4.95,5.47,7.65,4.74,4.86,6.98,6.79,5.98,18.9,5.25,10.66,5.22,6.66,11.43,3.54,4.45,6.28,6.0,4.94,5.42,2.72
2015-11-28,6.5,4.16,4.18,7.39,6.18,2.63,4.73,5.34,5.64,14.65,6.02,18.84,3.51,4.79,5.18,4.27,5.35,5.68,9.73,4.94,5.23,5.35,4.8,3.47,7.66,5.36,2.32,4.1,2.52,4.31,5.29,3.67,5.52,4.26,4.4,6.01,2.99,4.51,6.71,4.47,5.06,19.15,5.29,8.09,3.06,5.8,10.91,2.88,3.98,5.16,4.5,4.81,4.52,2.19
2015-12-05,9.05,3.28,2.53,6.16,5.02,2.7,4.52,6.39,6.62,18.9,8.09,15.46,3.09,4.64,4.85,4.15,4.37,5.98,10.51,4.46,6.35,4.87,4.73,3.76,9.03,4.83,2.51,4.32,2.3,3.7,5.73,2.35,5.61,4.58,5.14,7.58,3.36,5.04,5.01,5.06,6.11,20.21,5.06,9.92,3.37,7.21,7.85,2.84,4.31,6.11,5.53,6.82,4.52,2.12
2015-12-12,8.87,2.16,3.45,8.77,7.5,2.84,5.49,6.14,6.59,17.62,8.11,16.0,5.56,5.89,6.94,5.31,5.51,7.62,11.47,5.35,5.9,5.88,5.81,5.05,9.89,6.7,3.13,5.19,3.34,4.77,6.29,2.79,6.67,4.94,5.07,7.99,4.27,6.14,6.51,8.43,6.11,19.01,6.12,8.86,4.69,7.75,11.9,4.18,4.81,5.88,7.34,6.65,5.55,2.66
