REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2024,40,X,1.70306,X,X,X,X,X,X,758,106,44508
States,Alaska,2024,40,X,1.99375,X,X,X,X,X,X,83,12,4163
States,Arizona,2024,40,X,1.48065,X,X,X,X,X,X,1114,123,75237
States,Arkansas,2024,40,X,1.68056,X,X,X,X,X,X,242,49,14400
States,California,2024,40,X,2.1808,X,X,X,X,X,X,6605,208,302870
States,Colorado,2024,40,X,1.64003,X,X,X,X,X,X,828,97,50487
States,Connecticut,2024,40,X,1.9163,X,X,X,X,X,X,805,68,42008
States,Delaware,2024,40,X,0.651625,X,X,X,X,X,X,80,21,12277
States,District of Columbia,2024,40,X,3.61652,X,X,X,X,X,X,275,6,7604
States,Florida,2024,40,X,2.9142,X,X,X,X,X,X,7184,355,246517
States,Georgia,2024,40,X,2.58128,X,X,X,X,X,X,2062,94,79883
States,Hawaii,2024,40,X,2.11701,X,X,X,X,X,X,706,33,33349
States,Idaho,2024,40,X,0.980607,X,X,X,X,X,X,134,51,13665
States,Illinois,2024,40,X,1.17538,X,X,X,X,X,X,900,180,76571
States,Indiana,2024,40,X,2.04151,X,X,X,X,X,X,1563,154,76561
States,Iowa,2024,40,X,1.06533,X,X,X,X,X,X,53,14,4975
States,Kansas,2024,40,X,1.39866,X,X,X,X,X,X,175,22,12512
States,Kentucky,2024,40,X,0.603921,X,X,X,X,X,X,816,114,135117
States,Louisiana,2024,40,X,1.82385,X,X,X,X,X,X,772,87,42328
States,Maine,2024,40,X,1.02055,X,X,X,X,X,X,151,45,14796
States,Maryland,2024,40,X,2.19524,X,X,X,X,X,X,1027,65,46783
States,Massachusetts,2024,40,X,1.50209,X,X,X,X,X,X,1345,111,89542
States,Michigan,2024,40,X,0.964919,X,X,X,X,X,X,1460,300,151308
States,Minnesota,2024,40,X,0.825621,X,X,X,X,X,X,372,79,45057
States,Mississippi,2024,40,X,2.773,X,X,X,X,X,X,371,29,13379
States,Missouri,2024,40,X,0.914233,X,X,X,X,X,X,236,41,25814
States,Montana,2024,40,X,0.473934,X,X,X,X,X,X,32,28,6752
States,Nebraska,2024,40,X,2.05978,X,X,X,X,X,X,328,89,15924
States,Nevada,2024,40,X,1.32408,X,X,X,X,X,X,601,63,45390
States,New Hampshire,2024,40,X,0.90008,X,X,X,X,X,X,79,22,8777
States,New Jersey,2024,40,X,3.65256,X,X,X,X,X,X,931,28,25489
States,New Mexico,2024,40,X,1.93454,X,X,X,X,X,X,318,32,16438
States,New York,2024,40,X,1.85284,X,X,X,X,X,X,1772,159,95637
States,North Carolina,2024,40,X,1.41482,X,X,X,X,X,X,1329,136,93934
States,North Dakota,2024,40,X,0.520148,X,X,X,X,X,X,83,20,15957
States,Ohio,2024,40,X,1.79912,X,X,X,X,X,X,786,93,43688
States,Oklahoma,2024,40,X,1.10014,X,X,X,X,X,X,234,36,21270
States,Oregon,2024,40,X,1.19472,X,X,X,X,X,X,402,73,33648
States,Pennsylvania,2024,40,X,1.16007,X,X,X,X,X,X,684,87,58962
States,Rhode Island,2024,40,X,1.16763,X,X,X,X,X,X,146,21,12504
States,South Carolina,2024,40,X,1.83552,X,X,X,X,X,X,610,38,33233
States,South Dakota,2024,40,X,0.728421,X,X,X,X,X,X,60,32,8237
States,Tennessee,2024,40,X,1.81112,X,X,X,X,X,X,606,95,33460
States,Texas,2024,40,X,2.91082,X,X,X,X,X,X,1441,48,49505
States,Utah,2024,40,X,0.833854,X,X,X,X,X,X,160,47,19188
