REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Alabama,2024,40,299,2,0,0.67,0.67,0
States,Alaska,2024,40,X,X,X,X,X,X
States,Arizona,2024,40,339,5,0,1.47,1.47,0
States,Arkansas,2024,40,405,1,0,0.25,0.25,0
States,California,2024,40,6336,98,4,1.61,1.55,0.06
States,Colorado,2024,40,1068,4,0,0.37,0.37,0
States,Connecticut,2024,40,1623,7,2,0.55,0.43,0.12
States,Delaware,2024,40,X,X,X,X,X,X
States,District of Columbia,2024,40,X,X,X,X,X,X
States,Florida,2024,40,343,5,2,2.04,1.46,0.58
States,Georgia,2024,40,1778,3,0,0.17,0.17,0
States,Hawaii,2024,40,1056,25,0,2.37,2.37,0
States,Idaho,2024,40,303,3,0,0.99,0.99,0
States,Illinois,2024,40,339,4,0,1.18,1.18,0
States,Indiana,2024,40,243,0,0,0,0,0
States,Iowa,2024,40,1786,2,2,0.22,0.11,0.11
States,Kansas,2024,40,X,X,X,X,X,X
States,Kentucky,2024,40,665,1,0,0.15,0.15,0
States,Louisiana,2024,40,49,0,0,0,0,0
States,Maine,2024,40,727,5,0,0.69,0.69,0
States,Maryland,2024,40,417,0,0,0,0,0
States,Massachusetts,2024,40,1946,4,1,0.26,0.21,0.05
States,Michigan,2024,40,498,1,0,0.2,0.2,0
States,Minnesota,2024,40,1592,7,2,0.57,0.44,0.13
States,Mississippi,2024,40,183,1,7,4.37,0.55,3.83
States,Missouri,2024,40,1433,3,2,0.35,0.21,0.14
States,Montana,2024,40,389,4,0,1.03,1.03,0
States,Nebraska,2024,40,1337,5,1,0.45,0.37,0.07
States,Nevada,2024,40,682,11,1,1.76,1.61,0.15
States,New Hampshire,2024,40,X,X,X,X,X,X
States,New Jersey,2024,40,600,4,0,0.67,0.67,0
States,New Mexico,2024,40,3132,15,1,0.51,0.48,0.03
States,New York,2024,40,3226,7,1,0.25,0.22,0.03
States,North Carolina,2024,40,1283,5,0,0.39,0.39,0
States,North Dakota,2024,40,265,1,0,0.38,0.38,0
States,Ohio,2024,40,6553,15,3,0.27,0.23,0.05
States,Oklahoma,2024,40,514,1,0,0.19,0.19,0
States,Oregon,2024,40,1900,11,3,0.74,0.58,0.16
States,Pennsylvania,2024,40,1160,4,0,0.34,0.34,0
States,Rhode Island,2024,40,X,X,X,X,X,X
States,South Carolina,2024,40,366,1,0,0.27,0.27,0
States,South Dakota,2024,40,98,0,0,0,0,0
States,Tennessee,2024,40,25,0,0,0,0,0
States,Texas,2024,40,5256,53,3,1.07,1.01,0.06
States,Utah,2024,40,X,X,X,X,X,X
States,Vermont,2024,40,429,0,0,0,0,0
States,Virginia,2024,40,1245,2,0,0.16,0.16,0
States,Washington,2024,40,2636,32,5,1.4,1.21,0.19
States,West Virginia,2024,40,996,0,0,0,0,0
States,Wisconsin,2024,40,7458,24,16,0.54,0.32,0.21
States,Wyoming,2024,40,X,X,X,X,X,X
States,Puerto Rico,2024,40,X,X,X,X,X,X
States,Virgin Islands,2024,40,X,X,X,X,X,X
States,New York City,2024,40,X,X,X,X,X,X
States,Alabama,2024,41,307,0,0,0,0,0
States,Alaska,2024,41,X,X,X,X,X,X
States,Arizona,2024,41,340,4,0,1.18,1.18,0
States,Arkansas,2024,41,491,1,0,0.2,0.2,0
States,California,2024,41,10090,146,10,1.55,1.45,0.1
States,Colorado,2024,41,1077,9,0,0.84,0.84,0
States,Connecticut,2024,41,1542,3,4,0.45,0.19,0.26
States,Delaware,2024,41,X,X,X,X,X,X
States,District of Columbia,2024,41,X,X,X,X,X,X
States,Florida,2024,41,326,8,1,2.76,2.45,0.31
States,Georgia,2024,41,881,1,1,0.23,0.11,0.11
States,Hawaii,2024,41,942,12,0,1.27,1.27,0
States,Idaho,2024,41,280,1,0,0.36,0.36,0
States,Illinois,2024,41,434,6,1,1.61,1.38,0.23
States,Indiana,2024,41,299,3,1,1.34,1,0.33
