CATCHMENT,YEAR.1,WEEK,WEEKLY RATE
New York - Albany,2009,40,0.2
Georgia,2009,40,0.6
Minnesota,2009,40,2.3
Oregon,2009,40,2.7
Maryland,2009,40,3.9
Connecticut,2009,40,0.2
New Mexico,2009,40,5.7
California,2009,40,1.3
Tennessee,2009,40,0.5
Colorado,2009,40,7
Michigan,2009,40,0.5
New York - Rochester,2009,40,0.4
New York - Albany,2009,41,1.2
Georgia,2009,41,0.6
Minnesota,2009,41,3.9
Oregon,2009,41,5.1
Maryland,2009,41,5
Connecticut,2009,41,0.2
New Mexico,2009,41,7.2
California,2009,41,1.3
Tennessee,2009,41,0.7
Colorado,2009,41,6.9
Michigan,2009,41,1.6
New York - Rochester,2009,41,0.3
New York - Albany,2009,42,3.8
Georgia,2009,42,0.4
Minnesota,2009,42,6.2
Oregon,2009,42,6.5
Maryland,2009,42,6.1
Connecticut,2009,42,0.7
New Mexico,2009,42,5
California,2009,42,1.8
Tennessee,2009,42,0.2
Colorado,2009,42,4.4
Michigan,2009,42,2.9
New York - Rochester,2009,42,2.1
New York - Albany,2009,43,5.2
Georgia,2009,43,0.6
Minnesota,2009,43,5.9
Oregon,2009,43,4.7
Maryland,2009,43,5
Connecticut,2009,43,2.3
New Mexico,2009,43,3.3
California,2009,43,1.8
Tennessee,2009,43,0.4
Colorado,2009,43,2.7
Michigan,2009,43,3.1
New York - Rochester,2009,43,4.8
New York - Albany,2009,44,4.5
Georgia,2009,44,0.4
Minnesota,2009,44,4.4
Oregon,2009,44,3
Maryland,2009,44,3
Connecticut,2009,44,5.5
New Mexico,2009,44,3.4
California,2009,44,2
Tennessee,2009,44,0.6
Colorado,2009,44,1.3
Michigan,2009,44,1.2
New York - Rochester,2009,44,5.5
New York - Albany,2009,45,3.2
Georgia,2009,45,0.2
Minnesota,2009,45,2.3
Oregon,2009,45,1.3
Maryland,2009,45,2
Connecticut,2009,45,4.3
New Mexico,2009,45,2
California,2009,45,1.5
Tennessee,2009,45,0.3
Colorado,2009,45,1.1
Michigan,2009,45,0.5
New York - Rochester,2009,45,5.4
New York - Albany,2009,46,2.4
Georgia,2009,46,0.3
Minnesota,2009,46,1.2
Oregon,2009,46,0.8
Maryland,2009,46,1.2
Connecticut,2009,46,4.1
New Mexico,2009,46,0.9
California,2009,46,1.4
Tennessee,2009,46,0.2
Colorado,2009,46,0.7
Michigan,2009,46,0.6
New York - Rochester,2009,46,4.1
New York - Albany,2009,47,1.1
Georgia,2009,47,0.1
Minnesota,2009,47,0.7
Oregon,2009,47,0.8
Maryland,2009,47,0.5
Connecticut,2009,47,2.8
New Mexico,2009,47,0.4
