date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,New York - Albany,New York - Rochester
2015-10-10,2.99,1.175,0.0,3.85,0.29,0.39,0.33,0.0,0.485,1.87,2.12,10.68,0.0,1.13,0.0,0.0,3.33,0.49,0.98,0.55,0.0,1.16,1.83,0.45,0.71,0.0,0.0,0.0,1.175,0.0,0.67,0.0,0.37,0.75,0.33,0.52,0.76,0.0,0.27,6.275,0.565,0.0,0.0,0.97,1.68,0.0,1.1,0.0,1.22,0.0,0.29,0.0,0.37,0.37
2015-10-17,1.8,1.39,0.0,2.78,0.76,0.71,3.75,0.0,1.535,3.12,0.41,11.54,0.0,1.11,2.08,1.82,3.23,0.0,0.77,0.91,0.0,0.78,1.87,0.82,1.36,0.82,0.0,3.64,0.0,0.0,1.49,0.0,0.48,1.37,0.41,0.32,0.0,0.85,0.43,7.33,0.555,0.0,0.0,2.5,1.91,0.0,0.0,0.57,1.67,0.8,0.34,6.67,0.48,0.48
2015-10-24,2.59,1.315,0.0,0.0,0.33,0.71,1.92,2.17,0.875,4.06,0.99,1.59,0.0,2.18,0.0,3.23,2.9,0.43,0.25,1.615,0.0,0.41,0.0,0.76,0.68,0.2,0.0,0.0,1.315,0.0,0.995,0.0,0.24,0.63,0.0,0.59,1.17,0.0,0.91,2.825,1.09,1.37,0.0,1.75,1.66,0.55,0.0,0.0,0.45,2.2,0.15,0.0,0.24,0.24
2015-10-31,4.27,1.955,0.0,0.0,0.0,0.3,0.0,0.0,0.325,4.12,1.57,1.75,0.0,3.55,0.0,2.86,3.09,0.0,1.02,1.43,0.0,0.43,0.0,0.41,1.13,0.41,0.0,1.85,1.955,0.0,0.675,0.48,0.7,0.68,0.0,0.51,0.68,0.61,0.73,2.935,3.55,0.83,0.0,0.65,1.83,0.26,0.0,0.0,0.36,0.24,0.17,0.0,0.7,0.7
2015-11-07,1.97,1.225,1.04,4.26,1.11,0.0,0.0,0.0,1.74,4.12,1.22,2.11,5.88,2.11,0.0,1.1,3.48,0.0,0.63,0.975,0.0,0.0,0.54,0.32,0.61,0.0,1.18,1.27,0.0,0.0,1.985,0.87,0.49,0.0,0.245,1.48,0.0,0.0,0.61,3.115,2.11,0.35,0.0,3.48,1.4,0.24,0.85,0.0,0.34,1.02,0.0,0.0,0.49,0.49
2015-11-14,2.4,2.59,0.0,0.0,1.03,0.26,0.34,0.0,1.74,4.87,3.83,1.6,0.0,4.8,0.0,0.0,0.96,0.0,0.91,0.0,0.0,0.92,0.54,0.0,3.41,0.0,0.0,0.0,9.09,0.0,1.665,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.43,3.235,2.4,0.39,0.0,3.03,2.31,0.0,0.0,0.45,0.38,0.0,0.0,5.0,0.3,0.3
2015-11-21,1.79,1.675,0.0,0.0,0.64,0.0,0.56,0.0,0.585,4.36,3.11,0.0,0.0,3.02,0.0,0.0,5.38,0.77,0.89,0.0,0.0,0.0,0.86,0.0,0.48,0.21,0.0,0.0,1.675,0.0,0.7,0.0,0.23,2.29,0.0,0.73,0.0,0.0,0.79,2.18,3.02,1.56,0.0,1.17,2.89,0.0,0.0,0.0,0.33,0.88,0.17,0.0,0.23,0.23
2015-11-28,1.11,1.17,1.03,2.5,0.58,0.48,0.0,1.56,1.615,7.6,0.54,0.0,3.85,2.0,0.0,0.0,1.05,0.36,0.64,0.48,0.0,0.7,0.54,0.38,1.05,0.0,0.0,0.0,1.17,0.0,1.945,0.0,0.66,2.28,0.68,0.14,0.0,0.0,0.22,3.8,2.0,0.67,0.0,3.23,1.27,0.21,0.96,0.0,0.34,0.52,0.7,0.0,0.66,0.66
2015-12-05,2.8,0.0,1.14,0.0,1.58,0.44,0.29,0.0,2.345,6.1,1.11,0.63,16.28,1.37,1.79,0.0,2.86,0.35,0.41,0.0,0.0,0.7,1.15,0.0,2.75,0.2,0.0,0.0,5.56,0.0,2.62,0.38,0.55,1.79,0.415,0.39,0.0,0.45,1.23,3.365,0.685,0.98,1.54,4.69,1.35,0.18,0.0,0.0,2.02,0.0,0.28,0.0,0.55,0.55
2015-12-12,1.44,0.0,2.78,0.0,0.91,1.1,0.58,0.0,2.04,7.05,1.02,0.0,8.11,0.84,0.0,0.0,3.65,0.74,0.5,0.405,0.0,0.99,1.67,0.68,1.12,0.66,0.0,0.0,0.0,0.0,2.46,0.38,0.84,1.88,0.0,0.37,0.0,2.34,0.34,3.525,0.42,0.65,0.0,4.08,1.54,1.1,0.81,0.0,0.84,0.23,0.53,0.0,0.84,0.84
2015-12-19,3.6,1.915,3.45,2.33,1.87,0.22,0.57,0.0,1.08,14.06,1.46,1.75,0.0,1.61,0.0,2.27,2.54,1.05,0.47,1.135,0.0,0.29,0.73,0.96,1.91,1.02,0.0,0.0,0.0,0.0,1.39,0.68,0.62,2.61,0.0,0.73,0.52,5.69,0.35,7.905,0.805,0.0,0.0,2.16,1.33,3.04,0.0,0.0,2.22,0.47,0.26,0.0,0.62,0.62
2015-12-26,1.17,1.42,1.28,2.04,3.6,2.38,1.22,1.16,2.375,11.45,0.95,0.0,0.0,1.79,0.0,1.03,0.91,0.39,1.22,2.0,0.0,0.99,1.91,1.68,0.65,0.23,0.0,2.22,0.0,0.0,1.075,2.53,0.6,2.2,0.0,0.9,0.48,2.64,0.36,5.725,0.895,0.0,0.74,1.55,2.14,3.62,0.7,3.2,1.05,1.21,0.3,0.0,0.6,0.6
2016-01-02,1.74,0.0,4.6,0.0,4.12,1.76,1.24,1.47,1.57,11.24,1.51,3.06,0.0,1.5,0.0,0.0,1.63,0.65,0.44,0.0,0.0,0.0,0.96,0.63,0.63,0.42,0.0,0.0,0.0,0.0,2.23,1.5,1.72,2.64,0.0,0.23,3.85,4.94,1.56,7.15,0.75,0.34,1.28,2.74,1.35,4.6,0.63,0.4,2.99,0.54,0.46,0.0,1.72,1.72
2016-01-09,1.91,5.945,9.92,0.0,8.39,2.72,1.87,0.88,1.73,8.38,1.15,1.47,25.0,6.83,1.41,0.0,5.65,0.31,0.7,0.0,0.0,0.9,1.69,0.72,1.44,0.59,0.0,0.0,3.85,11.76,1.88,1.79,0.97,3.19,0.0,0.92,0.96,5.95,0.72,4.925,3.415,1.27,0.0,2.79,2.34,7.17,1.86,0.67,5.06,0.19,1.39,0.0,0.97,0.97
2016-01-16,2.94,5.895,15.38,0.0,10.02,1.57,4.43,0.88,2.7,14.88,1.05,5.38,0.0,3.76,0.0,1.14,0.88,2.05,1.58,1.82,0.0,2.5,3.54,1.2,1.68,2.45,0.0,0.0,3.7,4.55,3.73,3.65,2.48,4.73,5.26,0.59,1.59,11.23,0.99,10.13,1.88,0.37,0.0,4.98,2.56,5.32,1.37,0.42,8.03,0.87,1.05,8.0,2.48,2.48
