date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2022-02-12,10.0,1.0,64.0,29.0,36.0,29.0,1.0,2.0,1.0,68.0,36.0,3.0,1.0,9.0,33.0,46.0,14.0,15.0,20.0,6.0,7.0,33.0,43.0,20.0,21.0,47.0,13.0,29.0,6.0,10.0,23.0,7.0,27.0,30.0,6.0,28.0,73.0,2.0,56.0,18.0,1.0,21.0,19.0,26.0,164.0,6.0,3.0,40.0,8.0,5.0,29.0,2.0
2022-02-19,22.0,2.0,61.0,26.0,15.0,20.0,1.0,2.0,1.0,66.0,46.0,2.0,1.0,24.0,55.0,45.0,31.0,20.0,39.0,5.0,13.0,48.0,52.0,30.0,26.0,57.0,7.0,32.0,6.0,8.0,27.0,7.0,40.0,35.0,5.0,40.0,78.0,5.0,91.0,8.0,1.0,20.0,15.0,29.0,266.0,4.0,3.0,39.0,6.0,10.0,25.0,2.0
2022-02-26,13.0,1.0,75.0,40.0,27.0,29.0,7.0,1.0,1.0,73.0,36.0,2.0,3.0,28.0,44.0,62.0,38.0,28.0,34.0,2.0,15.0,41.0,54.0,19.0,28.0,53.0,16.0,40.0,10.0,4.0,37.0,5.0,29.0,38.0,5.0,34.0,79.0,4.0,83.0,8.0,2.0,22.0,13.0,45.0,350.0,7.0,1.0,40.0,5.0,15.0,29.0,4.0
2022-03-05,31.0,1.0,85.0,60.0,38.0,24.0,4.0,2.0,1.0,72.0,27.0,1.0,2.0,21.0,62.0,58.0,29.0,21.0,31.0,3.0,25.0,13.0,76.0,28.0,36.0,76.0,21.0,53.0,19.0,3.0,44.0,6.0,57.0,46.0,2.0,46.0,94.0,2.0,79.0,6.0,2.0,27.0,35.0,34.0,334.0,11.0,1.0,35.0,13.0,30.0,61.0,4.0
2022-03-12,36.0,2.0,89.0,64.0,42.0,41.0,8.0,7.0,4.0,68.0,38.0,1.0,14.0,37.0,110.0,55.0,44.0,33.0,35.0,2.0,17.0,29.0,90.0,35.0,33.0,71.0,14.0,43.0,23.0,15.0,37.0,7.0,56.0,58.0,6.0,78.0,121.0,7.0,85.0,26.0,1.0,22.0,14.0,33.0,438.0,15.0,4.0,33.0,12.0,27.0,43.0,6.0
2022-03-19,27.0,1.0,113.0,65.0,53.0,58.0,18.0,6.0,2.0,71.0,30.0,1.0,16.0,62.0,120.0,49.0,34.0,39.0,45.0,1.0,23.0,44.0,119.0,29.0,32.0,92.0,16.0,61.0,35.0,10.0,48.0,16.0,95.0,16.0,3.0,97.0,168.0,18.0,108.0,22.0,1.0,23.0,13.0,36.0,639.0,18.0,8.0,41.0,21.0,47.0,55.0,3.0
2022-03-26,27.0,3.0,130.0,83.0,63.0,82.0,25.0,6.0,4.0,108.0,34.0,1.0,14.0,112.0,126.0,43.0,44.0,45.0,44.0,3.0,32.0,40.0,137.0,37.0,48.0,86.0,19.0,60.0,46.0,9.0,65.0,37.0,90.0,26.0,6.0,109.0,161.0,24.0,118.0,37.0,1.0,17.0,5.0,48.0,637.0,6.0,8.0,42.0,24.0,25.0,58.0,7.0
2022-04-02,32.0,1.0,104.0,62.0,84.0,123.0,26.0,5.0,4.0,101.0,50.0,1.0,20.0,90.0,116.0,36.0,29.0,51.0,47.0,9.0,30.0,93.0,164.0,33.0,25.0,98.0,38.0,25.0,55.0,7.0,83.0,41.0,163.0,31.0,3.0,101.0,168.0,10.0,149.0,34.0,3.0,21.0,7.0,47.0,538.0,18.0,6.0,45.0,20.0,44.0,57.0,2.0
2022-04-09,28.0,2.0,120.0,85.0,102.0,105.0,47.0,10.0,2.0,97.0,28.0,3.0,20.0,113.0,111.0,25.0,35.0,90.0,28.0,11.0,51.0,143.0,173.0,28.0,33.0,78.0,19.0,35.0,97.0,14.0,142.0,44.0,200.0,40.0,4.0,129.0,121.0,14.0,195.0,40.0,5.0,26.0,11.0,38.0,364.0,14.0,10.0,41.0,24.0,38.0,44.0,10.0
2022-04-16,19.0,1.0,96.0,51.0,106.0,139.0,45.0,41.0,2.0,158.0,41.0,9.0,16.0,91.0,94.0,25.0,22.0,97.0,41.0,15.0,52.0,171.0,153.0,27.0,24.0,79.0,14.0,29.0,73.0,19.0,143.0,29.0,231.0,62.0,6.0,138.0,106.0,14.0,203.0,69.0,9.0,36.0,5.0,43.0,355.0,17.0,9.0,61.0,32.0,48.0,67.0,8.0
2022-04-23,29.0,2.0,134.0,39.0,152.0,182.0,52.0,18.0,1.0,162.0,47.0,7.0,17.0,114.0,64.0,21.0,28.0,79.0,43.0,21.0,46.0,183.0,141.0,33.0,17.0,73.0,21.0,16.0,79.0,34.0,129.0,43.0,297.0,48.0,6.0,122.0,80.0,27.0,218.0,121.0,10.0,37.0,5.0,38.0,352.0,9.0,9.0,49.0,34.0,44.0,54.0,1.0
