date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2022-02-12,0.197481,0.068175,0.871814,0.953358,0.092577,0.499677,0.013823,0.197069,0.073641,0.306529,0.331631,0.03484,0.051666,0.071638,0.483025,1.437399,0.480035,0.33375,0.437151,0.433356,0.114134,0.47287,0.428625,0.349861,0.717383,0.762425,1.161167,1.478457,0.189541,0.717004,0.248537,0.333321,0.137354,0.283111,0.777141,0.238312,1.824423,0.047185,0.43179,0.558696,0.045622,0.400302,2.096071,0.369812,0.548227,0.177713,0.077224,0.46599,0.103415,0.281694,0.492275,0.345672
2022-02-19,0.434458,0.068175,0.830947,0.854735,0.038574,0.344605,0.027616,0.197069,0.149572,0.297514,0.42375,0.03484,0.051666,0.191036,0.805042,1.406152,1.062936,0.445,0.852445,0.36113,0.211964,0.687811,0.518337,0.524792,0.888189,0.924644,0.625244,1.6314,0.189541,0.573603,0.291761,0.333321,0.203488,0.330296,0.647617,0.340446,1.949383,0.117962,0.701658,0.248309,0.09171,0.38124,1.654793,0.412482,0.889198,0.118475,0.077224,0.454341,0.077561,0.563388,0.424375,0.345672
2022-02-26,0.256725,0.140563,1.021657,1.314977,0.069433,0.499677,0.193312,0.098535,0.073641,0.329068,0.331631,0.03484,0.154997,0.222875,0.644034,1.937364,1.302953,0.623,0.743157,0.144452,0.244573,0.587505,0.538273,0.332368,0.956511,0.859756,1.429129,2.03925,0.315902,0.286802,0.399821,0.238086,0.147529,0.358607,0.063782,0.289379,1.974375,0.094369,0.639974,0.248309,0.045622,0.419364,1.434154,0.640059,1.169997,0.207331,0.154581,0.46599,0.064634,0.845081,0.492275,0.691344
2022-03-05,0.612191,0.068175,1.157878,1.972466,0.09772,0.413526,0.110464,0.197069,0.149572,0.32456,0.248723,0.03484,0.103331,0.167156,0.907502,1.812373,0.994359,0.46725,0.677585,0.216678,0.407622,0.186282,0.75757,0.489806,1.2298,1.232858,1.875732,2.702007,0.600214,0.215101,0.475463,0.285704,0.28997,0.434103,0.259047,0.391513,2.349256,0.047185,0.609132,0.186232,0.183421,0.514674,3.861183,0.4836,1.116512,0.325806,0.077224,0.407742,0.168049,1.690163,1.035474,0.691344
2022-03-12,0.710932,0.281126,1.212366,2.103963,0.108006,0.70644,0.220928,0.689742,0.598287,0.306529,0.350054,0.03484,0.723319,0.294513,1.610084,1.71863,1.508683,0.73425,0.765015,0.144452,0.277183,0.415552,0.897122,0.612258,1.127317,1.151749,1.250488,2.192194,0.726575,1.075506,0.399821,0.333321,0.284883,0.547347,0.777141,0.663869,3.024043,0.165146,0.655395,0.807005,0.045622,0.419364,1.544473,0.469376,1.464168,0.444281,0.077224,0.384442,0.155122,1.521146,0.729924,1.037016
2022-03-19,0.533199,0.140563,1.539296,2.136838,0.136294,0.999354,0.497088,0.591208,0.299143,0.320053,0.276359,0.071481,0.826651,0.493509,1.756455,1.531143,1.1658,0.867751,0.983591,0.072226,0.375012,0.630493,1.186195,0.507299,1.093156,1.492407,1.429129,3.109857,1.105657,0.717004,0.518687,0.761876,0.483284,0.150992,0.38857,0.825581,4.198671,0.424662,0.832737,0.68285,0.09171,0.438426,1.434154,0.512047,2.136081,0.533138,0.077224,0.47764,0.271464,2.647922,0.933624,0.518508
2022-03-26,0.533199,0.421688,1.770872,2.728578,0.16201,1.41288,0.6904,0.591208,0.598287,0.486841,0.313207,0.03484,0.723319,0.8915,1.844278,1.343656,1.508683,1.001251,0.961733,0.216678,0.521756,0.573176,1.36562,0.647244,1.639733,1.395076,1.697091,3.058876,1.453149,0.645304,0.702389,1.761838,0.457848,0.245363,0.777141,0.927715,4.023726,0.566216,0.909843,1.14843,0.09171,0.324054,0.551598,0.682729,2.129395,0.177713,1.236648,0.48929,0.310245,1.408469,0.984549,1.209852
2022-04-02,0.631939,0.068175,1.416697,2.038215,0.216013,2.11932,0.718016,0.492673,0.598287,0.455286,0.460598,0.071481,1.033314,0.716384,1.697907,1.124921,0.994359,1.134751,1.027306,0.650034,0.489147,1.332634,1.634757,0.577271,0.854028,1.589738,3.394181,1.274532,1.737461,0.501903,0.896896,1.952308,0.829213,0.292548,0.38857,0.859625,4.198671,0.235923,1.148869,1.055314,0.275131,0.400302,0.772237,0.668506,1.798453,0.533138,0.927486,0.524239,0.258537,2.478905,0.967574,0.345672
2022-04-09,0.552947,0.281126,1.634651,2.794326,0.262301,1.809176,1.297952,0.985346,0.299143,0.437255,0.257935,0.214442,1.033314,0.89946,1.624721,0.781195,1.200089,2.002501,0.612012,0.794486,0.831549,2.049103,1.724469,0.489806,1.127317,1.265302,1.697091,1.784344,3.064249,1.003806,1.534449,2.095159,1.017439,0.377481,0.518094,1.097937,3.024043,0.330293,1.503553,1.241546,0.458552,0.495612,1.213515,0.540494,1.216797,0.414663,1.54581,0.47764,0.310245,2.140873,0.746899,1.72836
2022-04-16,0.375214,0.140563,1.307721,1.676596,0.272588,2.395004,1.24272,4.039918,0.299143,0.71223,0.37769,0.643327,0.826651,0.724344,1.37589,0.781195,0.754341,2.158251,0.89616,1.08339,0.847854,2.450326,1.525108,0.472313,0.819867,1.281524,1.250488,1.478457,2.306084,1.362308,1.545255,1.3809,1.175143,0.585095,0.777141,1.174538,2.649162,0.330293,1.565238,2.141667,0.825393,0.686232,0.551598,0.611611,1.186712,0.503519,1.391229,0.710636,0.413659,2.70426,1.137324,1.382688
