DATE,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,New York - Albany,New York - Rochester,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2015-10-10,21.27,6.27,23.18,20.82,22.76,14.29,13.2,16.03,17.16,26.61,20.21,27.06,18.41,14.48,16.92,15.69,17.68,20.48,23.0,10.27,15.8,13.78,14.93,12.4,21.64,17.52,13.76,15.56,23.76,9.86,16.21,16.38,16.5,12.8,12.77,17.95,12.24,15.75,18.6,17.79,17.02,29.56,14.05,20.23,14.0,20.55,23.81,17.32,10.59,15.94,15.6,17.09,13.86,12.38
2015-10-11,21.43,6.44,23.13,21.15,23.87,15.63,13.03,15.93,17.22,26.72,20.13,27.27,19.0,15.24,16.87,16.86,18.33,20.16,23.57,10.63,15.68,14.0,15.34,13.95,21.88,18.32,15.79,16.59,24.05,9.92,16.33,16.59,16.49,12.48,12.99,17.6,13.24,15.82,19.27,17.45,17.04,29.44,13.99,20.06,15.27,20.47,24.22,18.24,10.89,15.76,15.44,16.84,14.72,13.97
2015-10-12,21.0,6.46,23.22,21.69,24.86,16.34,13.52,16.02,17.39,26.85,19.87,27.32,18.83,16.04,16.91,17.87,19.4,19.73,23.81,11.45,15.75,14.63,15.52,14.69,21.9,19.39,16.58,17.82,25.14,10.8,16.74,17.17,16.8,13.33,13.77,17.89,13.16,16.13,20.31,16.91,17.29,29.32,14.3,20.14,15.76,19.89,24.91,18.08,12.05,15.77,15.22,16.32,15.48,14.51
2015-10-13,21.07,6.57,23.86,21.64,25.92,17.16,13.98,16.35,17.7,26.86,19.94,27.3,18.65,15.68,16.43,17.54,19.36,19.02,23.63,11.79,16.06,15.11,15.43,13.9,22.25,19.24,17.37,17.53,26.63,11.13,17.09,17.56,17.18,13.73,14.24,18.37,12.32,16.25,20.66,16.47,17.61,29.17,14.69,20.72,15.06,19.24,25.51,18.0,12.78,16.26,15.11,16.56,15.09,15.2
2015-10-14,20.34,6.54,24.98,21.27,26.27,17.8,14.11,16.09,17.51,26.89,19.51,27.44,18.5,14.91,15.66,16.84,19.62,18.21,23.29,12.34,15.83,15.34,14.74,13.73,21.67,18.67,17.22,17.1,27.56,11.58,16.99,18.43,17.24,13.47,13.91,18.46,12.67,15.34,20.79,16.04,17.41,29.13,14.99,21.26,14.67,18.41,25.31,18.36,12.52,16.19,14.69,16.24,14.45,15.57
2015-10-15,19.66,6.38,25.79,21.2,26.33,17.43,13.63,15.56,17.06,27.04,19.21,27.45,18.35,14.37,14.56,15.93,19.61,17.22,23.06,11.97,15.23,15.03,13.98,13.36,21.06,18.13,16.52,16.21,27.96,11.07,16.56,19.17,16.89,12.98,13.44,17.79,12.39,14.41,21.0,15.88,16.91,29.05,14.46,21.05,13.96,17.7,25.03,18.54,12.34,15.63,14.31,15.39,14.12,15.36
2015-10-16,19.05,6.02,25.95,21.02,25.83,17.02,13.05,14.67,16.28,26.98,18.9,27.32,18.06,13.45,13.65,15.1,19.37,16.48,22.93,12.21,14.26,14.62,12.89,12.59,20.5,17.52,15.1,15.52,27.62,11.23,15.83,19.17,16.45,12.71,12.81,16.8,11.22,13.12,20.98,15.82,16.2,29.03,13.95,20.71,13.22,17.12,24.66,18.66,12.36,14.62,13.99,14.49,13.33,14.92
2015-10-17,18.17,5.55,25.39,20.54,24.95,16.48,12.29,13.83,15.6,26.71,18.08,27.32,17.31,12.6,12.77,14.34,19.3,15.63,22.8,11.73,13.37,14.17,11.83,11.45,20.17,16.63,13.21,14.95,26.88,10.44,15.16,18.88,15.91,12.07,12.09,15.89,9.52,12.35,20.79,15.66,15.52,28.87,13.22,20.25,12.22,16.21,24.09,18.74,11.92,13.63,13.62,13.31,12.36,14.23
2015-10-18,17.58,5.51,24.98,19.86,24.09,15.78,11.16,12.85,14.73,26.52,17.32,27.28,16.84,11.26,11.68,13.09,18.5,14.72,22.65,10.44,12.47,12.92,10.54,9.64,20.18,15.37,12.35,13.99,26.13,9.43,14.04,18.74,14.85,11.01,10.61,14.84,8.25,11.14,20.08,15.89,14.63,28.63,12.17,19.26,10.91,15.57,23.63,17.95,10.5,12.84,13.62,12.21,10.76,13.64
2015-10-19,16.83,5.55,24.67,18.65,23.33,15.75,9.37,11.45,13.56,26.36,16.51,27.32,16.68,10.29,10.54,12.63,17.94,13.6,22.45,8.57,11.25,11.06,9.17,9.61,19.62,14.34,12.48,13.79,24.93,7.66,12.48,18.15,13.34,9.05,8.86,13.44,8.48,9.56,19.26,16.1,13.17,28.41,10.56,18.04,11.22,14.62,22.56,17.84,8.18,11.64,13.7,11.08,9.85,13.44
2015-10-20,15.78,5.45,24.17,17.83,22.33,15.29,8.9,10.6,12.51,26.29,15.45,27.49,16.1,10.93,10.63,13.24,18.52,13.33,22.02,7.87,10.38,10.44,9.48,10.43,18.61,14.5,11.63,14.59,23.85,7.15,11.64,17.75,12.53,8.19,8.67,12.04,9.37,9.57,19.35,16.03,12.31,28.37,10.0,16.87,11.69,13.92,21.3,17.14,7.18,10.55,13.69,9.94,10.63,12.88
2015-10-21,15.79,5.21,22.91,17.56,22.01,14.14,8.91,10.32,12.07,26.37,15.21,27.53,15.32,11.75,11.19,13.77,18.51,13.29,21.89,7.29,10.03,10.01,10.25,10.99,18.76,15.29,10.71,14.93,22.9,6.62,11.57,16.44,12.26,8.02,8.9,11.21,9.67,10.37,19.18,15.74,12.1,28.36,9.91,16.22,12.1,13.86,21.3,16.34,6.84,10.05,13.79,9.42,11.56,11.57
2015-10-22,15.78,4.66,21.6,17.16,21.78,13.19,9.59,10.5,12.1,26.2,15.17,27.79,14.43,12.15,12.2,13.87,18.56,13.9,21.94,7.87,10.36,10.48,11.32,10.67,18.87,16.11,10.87,15.05,21.88,7.18,11.96,14.93,12.41,8.41,9.67,11.09,9.46,11.33,18.69,15.52,12.29,28.44,10.56,16.36,11.52,13.99,21.45,15.52,7.51,10.32,13.74,9.71,11.72,10.77
2015-10-23,16.03,4.13,20.54,17.11,21.55,12.85,9.52,10.75,12.51,25.99,15.21,27.86,13.42,12.63,13.03,14.72,19.09,14.41,22.12,7.63,10.96,10.39,11.59,11.45,19.37,17.02,11.32,16.26,21.37,7.17,12.19,14.05,12.4,7.95,9.32,11.46,10.68,11.6,18.61,14.71,12.53,28.42,10.55,16.41,12.5,13.98,21.92,14.61,7.03,10.88,13.29,10.24,12.02,10.53
2015-10-24,17.41,4.05,20.27,17.95,21.57,12.05,8.96,10.9,12.56,25.94,16.01,27.63,12.72,14.17,14.84,15.61,19.06,15.87,22.47,7.25,11.11,9.78,13.0,12.33,20.17,18.55,11.19,16.72,21.19,6.63,11.9,13.98,12.02,7.45,9.75,12.11,11.36,12.79,18.59,14.09,12.58,28.34,10.18,16.49,12.83,15.37,22.27,13.61,6.71,11.0,12.65,11.6,13.51,9.75
2015-10-25,18.75,3.86,20.34,18.17,21.76,11.3,10.12,12.22,13.67,25.96,16.87,27.27,12.21,14.7,15.73,15.66,18.52,16.88,23.04,8.45,12.48,10.8,14.12,12.34,20.8,19.02,10.43,16.29,20.94,7.62,13.19,13.19,13.29,8.62,11.09,13.36,10.8,13.95,18.23,13.82,13.75,27.88,11.26,17.64,12.32,16.33,22.25,13.18,7.98,12.3,12.39,13.11,14.18,8.93
2015-10-26,19.68,3.45,20.29,18.14,21.81,10.68,11.06,12.93,14.38,26.01,17.78,27.17,12.03,14.25,15.94,14.78,17.59,17.33,23.54,9.42,13.22,11.65,14.29,11.63,21.36,18.72,9.56,15.08,21.08,8.63,13.98,12.83,14.03,9.34,11.24,14.51,9.63,14.11,17.57,13.62,14.56,27.57,12.25,18.84,11.17,16.93,22.12,12.97,8.78,13.13,12.01,13.91,13.65,8.54
2015-10-27,19.63,3.21,20.16,18.18,21.81,9.94,10.11,12.55,14.27,26.12,17.62,27.04,11.48,13.41,15.4,13.52,16.55,17.07,23.75,8.7,12.85,11.03,13.28,11.07,21.74,18.13,9.06,13.68,21.08,7.75,13.56,12.36,13.64,8.48,9.78,14.84,9.2,13.21,16.88,13.11,14.25,27.24,11.43,19.33,10.55,17.14,22.28,12.86,7.81,12.68,11.64,14.18,12.68,7.88
2015-10-28,19.76,3.24,20.55,18.04,21.75,9.39,8.94,12.75,14.61,25.98,17.83,27.03,11.09,12.62,14.98,12.3,15.56,17.16,23.73,7.71,13.14,10.4,12.69,9.89,21.74,17.18,8.57,12.52,21.01,6.55,13.22,12.63,13.33,7.59,9.36,15.81,8.19,12.71,16.05,13.17,14.19,26.95,10.34,19.99,9.37,17.4,22.04,12.23,6.97,13.06,11.64,14.96,11.87,7.49
2015-10-29,19.62,3.55,21.32,17.56,22.03,9.43,9.47,13.35,15.09,26.04,17.65,26.85,10.78,11.1,13.29,10.87,13.88,16.22,23.69,8.17,13.68,10.9,11.31,9.18,21.55,15.37,7.53,11.18,21.02,7.15,13.58,12.95,13.78,7.83,8.93,16.65,7.64,11.58,14.91,13.17,14.67,26.68,10.82,20.22,8.9,17.17,21.29,11.85,6.85,13.49,11.75,15.25,10.63,7.43
2015-10-30,18.59,3.7,20.98,16.57,22.56,9.15,9.47,12.87,14.48,26.21,16.89,26.89,10.3,10.34,11.92,9.61,12.15,14.76,23.23,8.43,12.84,11.07,10.86,8.69,20.48,13.63,7.33,9.52,20.65,7.3,13.25,12.78,13.58,7.98,8.97,16.37,6.92,11.06,13.78,13.72,14.24,26.64,10.89,20.33,7.65,16.19,20.69,11.2,6.99,12.69,12.26,13.99,10.13,7.35
2015-10-31,17.56,2.87,20.23,15.87,22.52,9.12,9.71,12.57,14.21,26.29,16.03,27.1,10.1,9.15,10.47,8.92,11.71,13.32,23.13,8.4,12.57,11.24,9.94,8.3,19.73,12.63,7.62,8.91,20.48,7.83,13.31,12.13,13.56,8.14,8.49,15.62,6.71,10.15,13.34,14.22,14.0,26.73,10.95,20.06,7.33,15.09,20.33,11.07,6.87,12.37,12.76,12.56,9.14,7.59
