date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,New York - Albany,New York - Rochester,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2015-10-10,21.27,6.27,23.18,20.82,22.76,14.29,13.2,16.03,17.16,26.61,20.21,27.06,18.41,14.48,16.92,15.69,17.68,20.48,23.0,10.27,15.8,13.78,14.93,12.4,21.64,17.52,13.76,15.56,23.76,9.86,16.21,16.38,16.5,12.8,12.77,17.95,12.24,15.75,18.6,17.79,17.02,29.56,14.05,20.23,14.0,20.55,23.81,17.32,10.59,15.94,15.6,17.09,13.86,12.38
2015-10-17,18.17,5.55,25.39,20.54,24.95,16.48,12.29,13.83,15.6,26.71,18.08,27.32,17.31,12.6,12.77,14.34,19.3,15.63,22.8,11.73,13.37,14.17,11.83,11.45,20.17,16.63,13.21,14.95,26.88,10.44,15.16,18.88,15.91,12.07,12.09,15.89,9.52,12.35,20.79,15.66,15.52,28.87,13.22,20.25,12.22,16.21,24.09,18.74,11.92,13.63,13.62,13.31,12.36,14.23
2015-10-24,17.41,4.05,20.27,17.95,21.57,12.05,8.96,10.9,12.56,25.94,16.01,27.63,12.72,14.17,14.84,15.61,19.06,15.87,22.47,7.25,11.11,9.78,13.0,12.33,20.17,18.55,11.19,16.72,21.19,6.63,11.9,13.98,12.02,7.45,9.75,12.11,11.36,12.79,18.59,14.09,12.58,28.34,10.18,16.49,12.83,15.37,22.27,13.61,6.71,11.0,12.65,11.6,13.51,9.75
2015-10-31,17.56,2.87,20.23,15.87,22.52,9.12,9.71,12.57,14.21,26.29,16.03,27.1,10.1,9.15,10.47,8.92,11.71,13.32,23.13,8.4,12.57,11.24,9.94,8.3,19.73,12.63,7.62,8.91,20.48,7.83,13.31,12.13,13.56,8.14,8.49,15.62,6.71,10.15,13.34,14.22,14.0,26.73,10.95,20.06,7.33,15.09,20.33,11.07,6.87,12.37,12.76,12.56,9.14,7.59
2015-11-07,20.24,-1.46,16.24,17.45,17.71,8.8,13.62,15.32,16.23,27.32,18.68,27.74,7.09,13.18,14.67,13.54,14.56,16.98,23.04,11.23,15.14,15.08,13.8,11.09,20.34,14.99,5.41,13.45,15.21,11.33,16.37,10.13,15.78,13.09,13.66,17.85,6.5,14.77,15.01,10.61,16.5,27.0,13.9,21.82,9.29,18.11,20.62,9.06,12.82,14.91,9.6,16.77,13.3,6.28
2015-11-14,12.79,-4.16,15.51,13.27,16.88,5.43,8.28,11.21,12.27,26.83,12.61,26.87,5.95,6.39,7.47,8.53,11.0,9.83,18.06,7.14,10.95,9.65,7.0,7.48,14.58,10.47,5.47,7.68,13.02,6.49,11.86,7.16,12.11,7.82,7.77,12.67,5.04,7.52,12.04,9.86,12.38,27.36,9.43,16.15,6.67,12.53,17.68,4.89,7.14,10.14,9.0,9.13,6.32,4.04
2015-11-21,14.12,-13.3,13.11,12.57,17.03,2.05,7.21,10.74,12.03,25.52,13.61,25.81,4.05,8.09,8.88,7.63,10.3,10.99,19.04,4.45,10.79,7.83,9.17,5.2,15.37,11.41,1.62,7.11,12.71,4.27,11.29,6.06,11.58,6.8,8.45,12.12,2.14,10.48,11.27,8.19,11.69,26.77,8.25,16.6,3.93,11.94,17.16,4.4,5.81,10.08,6.11,10.71,7.86,0.35
2015-11-28,11.13,0.11,15.75,10.74,16.41,-0.16,5.32,6.95,8.26,23.07,10.27,25.53,-2.06,2.03,5.87,2.55,5.86,9.08,16.06,3.8,7.04,6.68,3.65,-0.79,12.24,8.35,-4.62,2.49,11.2,3.46,8.01,6.56,8.56,4.99,5.11,8.56,-3.27,5.61,7.63,3.36,8.2,26.67,5.77,12.86,-3.57,9.95,14.6,1.01,4.05,6.77,3.73,7.88,2.21,-2.36
2015-12-05,12.98,-4.09,10.74,7.37,15.73,-0.66,3.66,7.63,8.36,23.78,13.1,25.98,-3.84,2.43,2.35,1.98,3.36,6.16,16.66,1.54,7.23,5.06,2.41,-0.3,12.66,4.91,-1.22,1.37,7.71,1.22,7.59,4.2,8.24,3.83,4.58,10.04,-2.04,3.72,4.37,3.94,8.88,26.7,5.46,15.37,-2.59,9.45,10.49,-1.9,2.1,6.47,5.52,7.48,2.3,-2.47
2015-12-12,14.02,-8.32,14.73,13.17,17.0,6.6,6.24,7.47,8.67,23.71,13.33,25.68,6.75,5.98,8.29,6.52,8.25,11.33,17.97,4.33,6.75,7.85,5.45,3.52,14.78,10.57,5.64,6.21,11.6,3.19,9.1,7.05,9.49,4.48,6.04,11.09,0.72,7.25,10.92,10.32,8.99,26.39,7.46,13.62,2.79,11.76,16.89,4.48,4.76,6.32,9.13,9.4,5.04,5.09
