date,California,Colorado,Connecticut,Georgia,Maryland,Michigan,Minnesota,New York,Ohio,Oregon,Tennessee
2009-10-10,1.3,7.0,0.2,0.6,3.9,0.5,2.3,0.3,,2.7,0.5
2009-10-17,1.3,6.9,0.2,0.6,5.0,1.6,3.9,0.75,,5.1,0.7
2009-10-24,1.8,4.4,0.7,0.4,6.1,2.9,6.2,2.95,,6.5,0.2
2009-10-31,1.8,2.7,2.3,0.6,5.0,3.1,5.9,5.0,,4.7,0.4
2009-11-07,2.0,1.3,5.5,0.4,3.0,1.2,4.4,5.0,,3.0,0.6
2009-11-14,1.5,1.1,4.3,0.2,2.0,0.5,2.3,4.3,,1.3,0.3
2009-11-21,1.4,0.7,4.1,0.3,1.2,0.6,1.2,3.25,,0.8,0.2
2009-11-28,1.0,0.6,2.8,0.1,0.5,0.3,0.7,1.5,,0.8,0.2
2009-12-05,0.6,0.6,1.4,0.3,0.5,0.2,0.4,0.65,,0.3,0.2
2009-12-12,0.5,0.3,0.7,0.1,0.3,0.2,0.3,0.5,,0.3,0.2
2009-12-19,0.6,0.3,0.2,0.1,0.3,0.2,0.1,0.15,,0.2,0.2
2009-12-26,0.4,0.3,0.3,0.2,0.4,0.0,0.1,0.15,,0.1,0.1
2010-01-02,0.5,0.4,0.2,0.4,0.4,0.0,0.1,0.05,,0.1,0.4
2010-01-09,0.4,0.3,0.2,0.3,0.2,0.0,0.0,0.1,,0.1,0.3
2010-01-16,0.2,0.4,0.0,0.3,0.1,0.0,0.0,0.3,,0.0,0.6
2010-01-23,0.2,0.5,0.1,0.4,0.4,0.0,0.0,0.05,,0.0,0.2
2010-01-30,0.2,0.3,0.1,0.2,0.4,0.0,0.0,0.05,,0.0,0.0
2010-02-06,0.2,0.5,0.4,0.3,0.1,0.2,0.0,0.05,,0.0,0.2
2010-02-13,0.1,0.2,0.5,0.3,0.2,0.1,0.0,0.05,,0.0,0.2
2010-02-20,0.1,0.3,0.2,0.7,0.1,0.0,0.0,0.0,,0.0,0.1
2010-02-27,0.1,0.2,0.2,0.4,0.1,0.1,0.0,0.0,,0.0,0.2
2010-03-06,0.1,0.3,0.0,0.5,0.1,0.1,0.0,0.0,,0.0,0.1
2010-03-13,0.1,0.2,0.1,0.6,0.1,0.1,0.0,0.05,,0.0,0.2
2010-03-20,0.0,0.2,0.0,0.4,0.1,0.2,0.0,0.1,,0.0,0.2
2010-03-27,0.0,0.2,0.0,0.2,0.1,0.0,0.0,0.0,,0.0,0.2
2010-04-03,0.0,0.1,0.0,0.2,0.1,0.1,0.0,0.0,,0.0,0.1
2010-04-10,0.1,0.2,0.1,0.0,0.1,0.0,0.0,0.0,,0.0,0.0
2010-04-17,0.1,0.2,0.0,0.1,0.1,0.1,0.0,0.0,,0.0,0.1
2010-04-24,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,,0.0,0.0
2010-05-01,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,,0.0,0.0
2010-10-09,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-16,0.1,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0
2010-10-23,0.0,0.1,0.0,0.0,0.2,0.1,0.0,0.1,0.0,0.0,0.1
2010-10-30,0.1,0.2,0.1,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0
2010-11-06,0.0,0.2,0.1,0.1,0.0,0.0,0.1,0.05,0.1,0.0,0.0
2010-11-13,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-20,0.0,0.2,0.2,0.3,0.1,0.0,0.1,0.1,0.0,0.0,0.0
2010-11-27,0.1,0.1,0.2,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.1
2010-12-04,0.1,0.3,0.2,0.6,0.1,0.0,0.1,0.05,0.0,0.0,0.1
2010-12-11,0.2,0.4,0.3,0.8,0.1,0.1,0.2,0.0,0.0,0.0,0.1
2010-12-18,0.2,0.3,0.6,0.8,0.2,0.2,0.2,0.25,0.2,0.1,0.1
2010-12-25,0.2,0.7,1.2,0.8,0.6,0.2,0.3,0.35,0.4,0.1,0.2
2011-01-01,0.1,0.8,3.1,0.7,0.7,0.0,0.8,0.6,0.8,0.0,0.7
2011-01-08,0.4,0.6,3.2,0.9,0.9,0.0,0.3,0.6,1.2,0.1,0.7
2011-01-15,0.4,0.7,2.3,0.6,1.1,0.1,0.2,0.7,1.8,0.3,1.2
2011-01-22,0.8,0.8,2.5,0.3,1.9,0.1,0.4,1.15,2.7,0.1,0.8
2011-01-29,0.7,1.4,2.5,0.8,2.7,0.2,0.6,1.1,2.2,0.3,0.9
2011-02-05,1.2,2.0,4.1,1.2,2.9,0.4,0.9,1.2,1.7,0.3,1.2
2011-02-12,1.6,1.5,3.3,0.8,1.8,0.8,0.9,1.45,1.8,1.0,0.8
2011-02-19,1.6,2.5,4.3,1.6,2.8,1.0,0.9,2.4,1.1,1.0,0.7
2011-02-26,1.7,2.3,4.7,1.3,2.7,1.2,1.4,3.15,1.0,1.4,1.1
2011-03-05,2.3,2.0,4.0,0.9,1.9,1.0,1.4,2.65,0.7,2.0,0.5
2011-03-12,1.7,1.4,4.2,0.4,1.2,0.9,1.4,1.9,0.5,1.6,0.5
2011-03-19,1.3,1.3,3.8,0.3,0.7,0.5,1.4,1.8,0.4,1.2,0.3
2011-03-26,0.9,0.9,1.6,0.2,0.2,0.2,0.9,1.3,0.1,1.3,0.2
2011-04-02,0.6,0.4,1.7,0.1,0.3,0.2,0.5,1.15,0.3,0.8,0.1
2011-04-09,0.3,0.4,1.1,0.1,0.3,0.2,0.4,0.95,0.1,0.3,0.1
2011-04-16,0.1,0.1,0.9,0.2,0.2,0.2,0.2,0.9,0.1,0.5,0.0
2011-04-23,0.2,0.0,1.0,0.0,0.1,0.0,0.3,0.4,0.1,0.2,0.0
2011-04-30,0.1,0.3,0.3,0.0,0.1,0.1,0.1,0.2,0.0,0.1,0.0
2011-10-08,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
2011-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
2011-10-22,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.05,0.1,0.0,0.1
2011-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-05,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
2011-11-26,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0
2011-12-03,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-10,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-17,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0
2011-12-24,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-31,0.3,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1
