date,California,Colorado,Connecticut,Georgia,Maryland,Michigan,Minnesota,New York,Ohio,Oregon,Tennessee
2015-10-10,0.1,0.2,0.2,0.1,0.2,0.1,0.05,0.05,0.1,0.1,0.1
2015-10-17,0.1,0.05,0.1,0.1,0.2,0.1,0.1,0.05,0.1,0.1,0.1
2015-10-24,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.05,0.1,0.1,0.1
2015-10-31,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.05,0.05,0.05,0.1
2015-11-07,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2
2015-11-14,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1
2015-11-21,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1
2015-11-28,0.1,0.1,0.1,0.1,0.1,0.2,0.05,0.2,0.1,0.05,0.1
2015-12-05,0.2,0.05,0.2,0.1,0.2,0.05,0.1,0.05,0.05,0.1,0.1
2015-12-12,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.05,0.2,0.1,0.1
2015-12-19,0.1,0.2,0.1,0.1,0.3,0.2,0.1,0.2,0.05,0.1,0.1
2015-12-26,0.4,0.3,0.9,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.1
2016-01-02,0.3,0.6,0.3,0.1,0.2,0.2,0.2,0.05,0.1,0.1,0.1
2016-01-09,1.0,0.5,0.4,0.1,0.6,0.1,0.2,0.1,0.1,0.2,0.2
2016-01-16,0.8,0.4,0.5,0.1,0.1,0.05,0.3,0.3,0.1,0.3,0.1
2016-01-23,0.5,0.5,1.0,0.2,0.3,0.2,0.3,0.4,0.1,0.6,0.2
2016-01-30,1.0,0.8,1.3,0.2,0.2,0.6,0.4,0.5,0.1,0.7,0.3
2016-02-06,1.2,0.8,1.7,0.4,0.4,0.7,1.0,0.9,0.5,1.0,0.3
2016-02-13,1.9,1.2,1.7,0.6,0.6,1.0,1.0,1.2,0.2,1.5,0.7
2016-02-20,2.0,1.9,2.3,1.3,1.4,2.5,2.4,2.4,1.1,1.5,1.4
2016-02-27,2.1,2.0,4.9,1.6,2.0,2.9,3.5,3.2,1.5,0.8,1.5
2016-03-05,2.4,3.4,5.6,1.8,3.0,2.1,4.7,4.6,2.2,2.5,1.7
2016-03-12,2.3,4.2,9.1,2.2,4.9,2.7,5.4,7.4,3.7,2.3,2.8
2016-03-19,2.0,3.5,6.6,1.8,4.0,1.7,3.3,8.1,2.5,2.4,1.7
2016-03-26,1.6,3.2,6.1,1.1,3.2,1.1,2.2,7.8,1.8,2.4,2.4
2016-04-02,1.3,2.9,5.1,0.8,2.4,1.9,2.0,6.8,1.4,2.8,1.1
2016-04-09,1.2,2.1,3.6,0.7,1.7,0.8,1.3,4.6,0.8,2.2,1.5
2016-04-16,0.7,1.3,3.3,0.7,2.2,1.0,1.1,2.6,1.2,1.3,1.3
2016-04-23,0.4,0.8,2.1,0.8,1.7,1.0,0.6,2.2,1.2,1.8,1.1
