date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
2021-01-02,20.0,0.2,44.0,20.0,51.0,1.5,1.0,0.4,0.1,31.0,36.0,0.3,0.6,8.0,4.0,7.0,1.0,5.0,16.0,0.2,4.0,7.0,5.0,0.8,5.0,6.0,0.1,0.6,17.0,1.0,10.0,1.0,21.0,15.0,0.1,21.0,22.0,2.0,14.0,0.1,13.0,0.2,34.0,250.0,1.0,0.2,37.0,1.0,4.0,0.6,0.2,7.0
2021-01-09,33.0,0.2,9.0,20.0,75.0,1.3,1.0,0.1,1.0,40.0,22.0,0.4,2.0,10.0,6.0,2.0,2.0,7.0,4.0,0.5,10.0,3.0,6.0,1.0,28.0,13.0,0.3,2.0,9.0,0.1,11.0,3.0,11.0,12.0,1.0,11.0,20.0,0.4,16.0,0.2,5.0,1.0,26.0,127.0,0.3,0.2,30.0,2.0,6.0,2.3,0.1,16.0
2021-01-16,42.0,0.2,14.0,17.0,45.0,4.0,1.0,3.0,0.2,48.0,40.0,0.1,2.0,4.0,5.0,7.0,9.0,7.0,5.0,0.5,4.0,3.0,6.0,1.0,29.0,8.0,0.1,4.0,13.0,0.4,6.0,3.0,18.0,24.0,2.0,7.0,9.0,0.4,19.0,0.2,5.0,0.3,34.0,118.0,1.0,0.1,49.0,1.4,0.2,1.0,12.0,20.0
2021-01-23,22.0,0.1,3.0,13.0,40.0,5.0,0.4,0.3,1.0,50.0,25.0,0.6,0.2,1.3,8.0,1.0,1.0,3.0,20.0,0.4,3.0,3.0,6.0,0.9,14.0,9.0,0.1,1.0,2.0,1.0,9.0,10.0,19.0,4.0,0.2,6.0,3.0,1.6,21.0,0.3,6.0,0.1,26.0,337.0,0.3,0.2,28.0,0.8,0.6,0.6,0.1,15.0
2021-01-30,46.0,0.1,2.0,21.0,24.0,5.0,1.2,0.2,2.0,41.0,33.0,0.5,0.3,1.3,6.0,3.0,1.0,13.0,20.0,0.1,4.0,1.6,3.0,12.0,14.0,6.0,0.3,1.0,5.0,1.0,9.0,2.0,23.0,10.0,1.0,8.0,9.0,1.6,11.0,0.2,9.0,0.2,39.0,123.0,0.8,0.3,18.0,1.4,0.5,3.0,0.1,26.0
2021-02-06,37.0,0.1,3.0,9.0,18.0,2.0,1.3,0.4,0.1,52.0,16.0,0.3,0.7,8.0,10.0,2.0,0.8,2.0,12.0,0.1,0.6,3.0,2.0,0.8,10.0,7.0,0.3,0.7,2.0,0.3,11.0,4.0,20.0,4.0,0.2,6.0,9.0,1.0,10.0,0.4,4.0,0.1,44.0,146.0,1.3,1.0,27.0,1.0,0.5,5.0,0.2,16.0
2021-02-13,33.0,0.1,3.0,19.0,24.0,1.0,0.6,0.1,0.3,51.0,30.0,0.1,0.2,2.9,8.0,1.0,4.0,2.0,12.0,1.0,1.0,1.0,2.3,1.2,9.0,4.0,0.1,1.0,0.3,1.0,7.0,4.0,13.0,3.0,0.1,9.0,2.0,1.0,18.0,0.3,5.0,2.0,30.0,120.0,1.1,0.1,26.0,1.0,0.2,1.0,0.1,13.0
2021-02-20,29.0,0.1,4.0,16.0,16.0,1.0,0.8,0.2,0.1,42.0,33.0,0.5,0.5,3.5,6.0,4.0,5.0,1.2,7.0,1.0,1.0,3.0,2.9,5.0,15.0,13.0,0.4,5.0,5.0,1.0,9.0,1.0,21.0,8.0,0.1,12.0,9.0,0.4,9.0,0.2,7.0,1.0,29.0,108.0,0.9,0.1,23.0,2.0,0.7,12.0,0.2,16.0
2021-02-27,31.0,0.1,5.0,10.0,22.0,1.4,1.1,0.4,0.2,41.0,18.0,0.4,0.3,2.0,1.0,0.3,1.1,5.0,19.0,0.3,1.0,2.0,4.0,8.0,7.0,15.0,1.0,7.0,6.0,0.2,12.0,1.0,10.0,8.0,0.3,11.0,14.0,1.0,14.0,0.2,9.0,1.0,13.0,79.0,0.6,0.2,27.0,3.0,0.6,2.0,0.1,17.0
2021-03-06,29.0,0.1,15.0,10.0,14.0,8.0,0.4,0.1,0.2,43.0,12.0,0.3,0.4,2.0,3.0,0.6,0.7,15.0,8.0,2.0,1.0,2.0,3.0,18.0,13.0,6.0,0.2,4.0,0.3,0.1,5.0,1.0,14.0,4.0,0.1,12.0,10.0,1.1,5.0,0.1,6.0,0.1,22.0,82.0,0.6,0.1,33.0,5.0,0.2,1.0,0.1,30.0
