date,p,variant
2020-05-11,1.0,other
2020-05-25,1.0,other
2020-06-08,1.0,other
2020-06-22,1.0,other
2020-07-06,1.0,other
2020-07-20,1.0,other
2020-08-03,1.0,other
2020-08-17,1.0,other
2020-08-31,1.0,other
2020-09-14,1.0,other
2020-09-28,1.0,other
2020-10-12,1.0,other
2020-10-26,0.00025634452704436945,alpha
2020-10-26,0.9997436554729556,other
2020-11-09,0.0005126890540887025,alpha
2020-11-09,0.9994873109459113,other
2020-11-23,0.00025634452704436945,alpha
2020-11-23,0.9997436554729556,other
2020-12-07,0.00025634452704436945,alpha
2020-12-07,0.9997436554729556,other
2020-12-21,0.0005126890540887025,alpha
2020-12-21,0.9994873109459113,other
2021-01-04,0.007433991284286095,alpha
2021-01-04,0.000256344527044333,beta
2021-01-04,0.0002563445270443686,delta
2021-01-04,0.9920533196616252,other
2021-01-18,0.011791848244040011,alpha
2021-01-18,0.00025634452704433215,beta
2021-01-18,0.0005126890540887025,gamma
2021-01-18,0.0002563445270443339,delta
2021-01-18,0.9871827736477826,other
2021-02-01,0.03101768777236608,alpha
2021-02-01,0.0007690335811330364,beta
2021-02-01,0.0005126890540887025,delta
2021-02-01,0.9677005895924122,other
2021-02-15,0.06818764419379648,alpha
2021-02-15,0.0015380671622660658,beta
2021-02-15,0.0002563445270443304,gamma
2021-02-15,0.9300179441168931,other
2021-03-01,0.15226864906434245,alpha
2021-03-01,0.003845167905665192,beta
2021-03-01,0.001538067162266149,gamma
2021-03-01,0.8423481158677262,other
2021-03-15,0.28402973596513714,alpha
2021-03-15,0.005383235067931258,beta
2021-03-15,0.006664957703153118,gamma
2021-03-15,0.7039220712637785,other
2021-03-29,0.46731607280184567,alpha
2021-03-29,0.007433991284286012,beta
2021-03-29,0.0194821840553705,gamma
2021-03-29,0.0005126890540886886,delta
2021-03-29,0.5052550628044091,other
2021-04-12,0.6118943860548577,alpha
2021-04-12,0.0084593693924635,beta
2021-04-12,0.044091258651627774,gamma
2021-04-12,0.0012817226352217492,delta
2021-04-12,0.3342732632658293,other
2021-04-26,0.672648038964368,alpha
2021-04-26,0.0084593693924635,beta
2021-04-26,0.06818764419379653,gamma
2021-04-26,0.00717764675724164,delta
2021-04-26,0.24352730069213036,other
2021-05-10,0.7067418610612662,alpha
2021-05-10,0.0084593693924635,beta
2021-05-10,0.09459113047936418,gamma
2021-05-10,0.01845680594719301,delta
2021-05-10,0.17175083311971306,other
2021-05-24,0.6882850551140732,alpha
2021-05-24,0.007433991284286012,beta
2021-05-24,0.1115098692642913,gamma
2021-05-24,0.04075877980005127,delta
2021-05-24,0.1520123045372982,other
2021-06-07,0.5965137144321968,alpha
2021-06-07,0.004614201486798253,beta
2021-06-07,0.1291976416303512,gamma
2021-06-07,0.14227121250961283,delta
2021-06-07,0.12740322994104092,other
2021-06-21,0.4157908228659318,alpha
2021-06-21,0.0017944116893103823,beta
2021-06-21,0.10638297872340424,gamma
2021-06-21,0.38759292489105357,delta
2021-06-21,0.08843886183030003,other
2021-07-05,0.17585234555242246,alpha
2021-07-05,0.0005126890540886608,beta
2021-07-05,0.06716226608561912,gamma
2021-07-05,0.713919507818508,delta
2021-07-05,0.042553191489361764,other
2021-07-19,0.04768008203024867,alpha
2021-07-19,0.00025634452704433736,beta
2021-07-19,0.024609074596257358,gamma
2021-07-19,0.9092540374263008,delta
2021-07-19,0.01820046142014875,other
2021-08-02,0.012304537298128677,alpha
2021-08-02,0.008459369392463499,gamma
2021-08-02,0.9735965137144321,delta
2021-08-02,0.005639579594975741,other
2021-08-16,0.0030761343245321784,alpha
2021-08-16,0.003588823378620881,gamma
2021-08-16,0.9900025634452705,delta
2021-08-16,0.0033324788515765036,other
2021-08-30,0.0007690335811330355,alpha
