week_end,BA_2_86,BA_5,BQ_1,BQ_1_1,EG_5,FL_1_5_1,HV_1,JN_1,JN_1_11_1,JN_1_7,KP_1_1,KP_2,KP_3,LB_1,Other,XBB,XBB_1_16,XBB_1_16_6,XBB_1_5,XBB_1_9_1,XBB_1_9_2,XBB_2_3
2023-01-07,,18.4,20.47,20.05,,,,,,,,,,,18.53,,,,22.54,,,
2023-01-14,,16.54,18.89,19.43,,,,,,,,,,,14.39,,,,30.74,,,
2023-01-21,,15.17,17.39,15.14,,,,,,,,,,,16.99,,,,35.32,,,
2023-01-28,,13.03,14.34,12.48,,,,,,,,,,,8.8,5.27,,,46.08,,,
2023-02-04,,10.11,12.55,8.43,,,,,,,,,,,14.56,7.15,,,47.21,,,
2023-02-11,,9.56,8.15,7.7,,,,,,,,,,,8.05,5.02,,,61.52,,,
2023-02-18,,7.89,6.25,5.62,,,,,,,,,,,6.39,6.86,,,67.0,,,
2023-02-25,,6.08,,,,,,,,,,,,,13.99,7.34,,,72.58,,,
2023-03-04,,,,,,,,,,,,,,,17.45,8.38,,,74.17,,,
2023-03-11,,,,,,,,,,,,,,,16.23,9.04,,,74.73,,,
2023-03-18,,,,,,,,,,,,,,,12.75,11.47,,,75.77,,,
2023-03-25,,,,,,,,,,,,,,,13.62,9.9,,,76.47,,,
2023-04-01,,,,,,,,,,,,,,,17.38,,,,82.62,,,
2023-04-08,,,,,,,,,,,,,,,11.54,7.9,,,80.56,,,
2023-04-15,,,,,,,,,,,,,,,14.83,6.14,,,79.03,,,
2023-04-22,,,,,,,,,,,,,,,19.1,7.46,,,73.45,,,
2023-04-29,,,,,,,,,,,,,,,18.54,9.72,,,71.73,,,
2023-05-06,,,,,,,,,,,,,,,22.15,16.61,,,61.24,,,
2023-05-13,,,,,,,,,,,,,,,21.49,12.17,,,61.24,5.11,,
2023-05-20,,,,,,,,,,,,,,,18.42,12.68,5.22,,56.28,7.4,,
2023-05-27,,,,,,,,,,,,,,,20.35,15.23,9.42,,49.48,5.52,,
2023-06-03,,,,,,,,,,,,,,,24.57,16.44,8.02,,42.31,8.65,,
2023-06-10,,,,,,,,,,,,,,,23.83,17.88,8.17,,42.39,7.74,,
2023-06-17,,,,,,,,,,,,,,,23.52,14.79,9.15,,37.0,9.99,,5.55
2023-06-24,,,,,,,,,,,,,,,27.88,19.15,9.33,,28.33,9.93,,5.38
2023-07-01,,,,,,,,,,,,,,,26.52,16.78,11.26,,30.6,9.69,,5.15
2023-07-08,,,,,5.46,,,,,,,,,,25.72,15.0,11.02,,25.32,10.22,,7.26
2023-07-15,,,,,7.0,,,,,,,,,,23.69,18.29,13.12,,22.83,9.24,,5.82
2023-07-22,,,,,8.59,,,,,,,,,,28.4,16.18,11.71,,21.69,8.14,,5.31
2023-07-29,,,,,9.87,,,,,,,,,,28.3,16.21,12.55,,18.16,8.3,,6.6
2023-08-05,,,,,11.48,5.26,,,,,,,,,25.65,16.9,12.03,,14.3,7.48,,6.9
2023-08-12,,,,,14.57,5.43,,,,,,,,,23.12,11.86,12.28,6.33,12.18,6.78,,7.43
2023-08-19,,,,,14.11,6.38,,,,,,,,,24.19,13.69,10.19,6.76,10.65,6.62,,7.43
2023-08-26,,,,,17.22,7.23,,,,,,,,,23.25,12.0,10.48,7.79,9.08,5.96,,7.01
2023-09-02,,,,,20.35,9.48,,,,,,,,,23.36,10.57,8.45,7.85,7.82,5.39,,6.73
2023-09-09,,,,,20.5,8.39,5.21,,,,,,,,19.63,9.19,9.54,8.95,7.57,5.11,,5.91
2023-09-16,,,,,21.06,10.16,5.33,,,,,,,,23.86,9.17,8.77,8.76,7.43,,,5.46
2023-09-23,,,,,22.15,10.48,7.94,,,,,,,,23.5,8.65,5.75,8.38,7.77,,5.38,
2023-09-30,,,,,25.52,10.18,9.4,,,,,,,,22.01,7.22,6.13,7.31,7.07,5.17,,
2023-10-07,,,,,25.56,10.1,10.43,,,,,,,,32.28,6.91,,7.82,6.91,,,
2023-10-14,,,,,25.23,9.31,13.43,,,,,,,,30.76,7.89,,6.96,6.42,,,
2023-10-21,,,,,23.45,8.83,15.82,,,,,,,,28.82,9.21,,6.59,7.28,,,
2023-10-28,,,,,26.72,6.41,16.14,,,,,,,,30.44,7.61,,,7.36,5.32,,
2023-11-04,,,,,24.87,,18.93,,,,,,,,40.41,7.69,,,8.11,,,
2023-11-11,,,,,23.3,,21.48,,,,,,,,40.03,7.81,,,7.38,,,
2023-11-18,,,,,23.5,,20.64,,,,,,,,34.7,8.9,,5.39,6.87,,,
2023-11-25,,,,,22.81,,20.03,,,,,,,,40.68,8.31,,,8.16,,,
2023-12-02,,,,,19.96,,20.66,8.92,,,,,,,36.18,6.49,,,7.79,,,
2023-12-09,,,,,20.51,,16.78,15.2,,,,,,,33.51,6.37,,,7.64,,,
2023-12-16,5.79,,,,16.79,,15.08,23.19,,,,,,,26.16,6.21,,,6.79,,,
2023-12-23,6.49,,,,14.9,,11.38,35.23,,,,,,,27.0,,,,5.0,,,
2023-12-30,6.94,,,,10.62,,7.25,46.66,,,,,,,23.06,5.46,,,,,,
2024-01-06,7.72,,,,7.88,,5.37,53.98,,,,,,,25.06,,,,,,,
