date,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10
2020-08-08,345.0,879.0,1551.0,15025.0,2542.0,8926.0,1028.0,796.0,7472.0,475.0
2020-08-15,272.0,935.0,1447.0,14283.0,2662.0,8119.0,1157.0,706.0,6591.0,449.0
2020-08-22,446.0,1371.0,1405.0,14312.0,2951.0,7746.0,1316.0,534.0,6286.0,484.0
2020-08-29,485.0,1046.0,1413.0,13609.0,3010.0,7050.0,1416.0,613.0,6420.0,366.0
2020-09-05,435.0,1089.0,1394.0,11811.0,2919.0,6297.0,1441.0,643.0,6370.0,412.0
2020-09-12,288.0,1087.0,1309.0,10378.0,3307.0,5680.0,1429.0,640.0,5288.0,361.0
2020-09-19,331.0,1099.0,1258.0,8598.0,2917.0,5931.0,1579.0,814.0,4769.0,433.0
2020-09-26,383.0,1168.0,1280.0,8042.0,3150.0,6026.0,1794.0,1081.0,4582.0,456.0
2020-10-03,462.0,1554.0,1474.0,10410.0,4061.0,6186.0,1975.0,1319.0,3884.0,416.0
2020-10-10,506.0,1721.0,1759.0,12353.0,5192.0,7370.0,2411.0,1561.0,3922.0,493.0
2020-10-17,539.0,1918.0,1829.0,11793.0,6877.0,8722.0,2753.0,1819.0,3884.0,576.0
2020-10-24,694.0,2750.0,2289.0,12440.0,8314.0,10122.0,2800.0,2100.0,3550.0,656.0
2020-10-31,842.0,3162.0,2536.0,13961.0,9823.0,9931.0,3333.0,2515.0,3793.0,731.0
2020-11-07,1101.0,3480.0,3290.0,13966.0,12687.0,11453.0,4491.0,3248.0,4548.0,875.0
2020-11-14,1634.0,5052.0,4613.0,16225.0,16735.0,13422.0,5784.0,3830.0,5800.0,1219.0
2020-11-21,2074.0,5841.0,6036.0,17494.0,18953.0,16159.0,6426.0,4323.0,7837.0,1442.0
2020-11-28,2251.0,6489.0,7316.0,18757.0,18932.0,15821.0,5498.0,4060.0,10231.0,1720.0
2020-12-05,3033.0,8318.0,8755.0,22274.0,18751.0,16686.0,5203.0,3879.0,13175.0,1767.0
2020-12-12,3538.0,9424.0,9249.0,24064.0,17809.0,17358.0,4844.0,3545.0,16603.0,1661.0
2020-12-19,3346.0,9829.0,9374.0,26218.0,16360.0,18427.0,4345.0,3017.0,19947.0,1656.0
2020-12-26,3636.0,10242.0,8886.0,27945.0,14028.0,19840.0,3979.0,2453.0,20588.0,1529.0
2021-01-02,3573.0,10395.0,8871.0,31724.0,13852.0,23048.0,3913.0,2371.0,21253.0,1569.0
2021-01-09,3734.0,11273.0,9208.0,34607.0,13693.0,24847.0,4023.0,2314.0,22562.0,1537.0
2021-01-16,3705.0,11112.0,8737.0,32823.0,12093.0,23440.0,3696.0,2217.0,20267.0,1336.0
2021-01-23,3284.0,10670.0,7735.0,29115.0,10084.0,20993.0,2977.0,1869.0,18097.0,1105.0
2021-01-30,2901.0,8702.0,6936.0,25237.0,8374.0,18331.0,2412.0,1578.0,14853.0,1077.0
2021-02-06,2487.0,8691.0,6033.0,21764.0,7104.0,15645.0,2102.0,1451.0,11754.0,950.0
2021-02-13,1964.0,8102.0,4980.0,18177.0,5675.0,12242.0,1591.0,1206.0,8945.0,799.0
2021-02-20,1604.0,6533.0,4181.0,15475.0,4787.0,8731.0,1445.0,1107.0,6760.0,752.0
2021-02-27,1555.0,6917.0,3870.0,13059.0,4207.0,8744.0,1314.0,1018.0,5323.0,633.0
2021-03-06,1472.0,6094.0,3301.0,10789.0,3773.0,7006.0,1080.0,877.0,4310.0,547.0
2021-03-13,1413.0,6092.0,3319.0,10953.0,3939.0,6034.0,952.0,824.0,3609.0,548.0
2021-03-20,1339.0,6237.0,3482.0,10103.0,4280.0,5292.0,935.0,850.0,3373.0,596.0
2021-03-27,1491.0,6863.0,3912.0,9974.0,5443.0,5013.0,901.0,844.0,2980.0,570.0
2021-04-03,1612.0,6934.0,4356.0,9755.0,6873.0,4772.0,949.0,868.0,2829.0,665.0
2021-04-10,1698.0,6495.0,4820.0,10171.0,8632.0,4826.0,1067.0,1062.0,2655.0,854.0
2021-04-17,1688.0,6537.0,4887.0,10764.0,9342.0,5255.0,1015.0,975.0,2808.0,781.0
2021-04-24,1534.0,5956.0,4832.0,10714.0,8284.0,4818.0,1005.0,1133.0,2575.0,926.0
2021-05-01,1314.0,4067.0,3746.0,10211.0,7297.0,4876.0,1071.0,1247.0,2702.0,1051.0
2021-05-08,1110.0,2997.0,3421.0,9301.0,6502.0,4390.0,977.0,1299.0,2415.0,888.0
2021-05-15,885.0,2245.0,2705.0,8519.0,5062.0,3998.0,815.0,1110.0,2162.0,861.0
2021-05-22,745.0,1831.0,2272.0,7444.0,4558.0,3578.0,707.0,1107.0,2074.0,836.0
2021-05-29,574.0,1459.0,1927.0,6887.0,3715.0,3544.0,727.0,1018.0,2000.0,760.0
2021-06-05,376.0,1073.0,1438.0,5790.0,2614.0,3032.0,648.0,894.0,1926.0,671.0
2021-06-12,277.0,898.0,1103.0,5449.0,1979.0,3028.0,741.0,762.0,1619.0,565.0
2021-06-19,234.0,700.0,864.0,5001.0,1500.0,2641.0,856.0,705.0,1703.0,535.0
2021-06-26,216.0,659.0,715.0,4658.0,1214.0,2420.0,828.0,661.0,1984.0,526.0
2021-07-03,192.0,606.0,643.0,5280.0,1192.0,2754.0,977.0,774.0,2355.0,418.0
2021-07-10,218.0,641.0,654.0,6754.0,1294.0,3826.0,1229.0,796.0,2695.0,438.0
2021-07-17,403.0,737.0,691.0,9681.0,1607.0,5280.0,1682.0,867.0,3625.0,544.0
2021-07-24,334.0,1020.0,945.0,15143.0,2195.0,8038.0,2162.0,969.0,4648.0,699.0
2021-07-31,523.0,1357.0,1370.0,23289.0,3110.0,11854.0,2671.0,1138.0,6444.0,1066.0
2021-08-07,692.0,2014.0,2002.0,31365.0,4533.0,16439.0,3049.0,1419.0,7876.0,1501.0
2021-08-14,971.0,2699.0,2896.0,37425.0,6225.0,19495.0,3508.0,1614.0,9233.0,1770.0
2021-08-21,1189.0,3082.0,3558.0,40692.0,7683.0,19310.0,3320.0,2047.0,9898.0,2148.0
2021-08-28,1335.0,3196.0,4289.0,41226.0,8559.0,18195.0,3116.0,2362.0,9725.0,2571.0
2021-09-04,1252.0,3266.0,4659.0,40012.0,9469.0,17155.0,2905.0,2597.0,9175.0,2724.0
2021-09-11,1266.0,3232.0,4959.0,36330.0,10251.0,15545.0,2817.0,2731.0,8097.0,2717.0
2021-09-18,1282.0,3180.0,5347.0,29477.0,10534.0,13835.0,2729.0,2735.0,7185.0,2607.0
2021-09-25,1207.0,3000.0,5458.0,22044.0,10252.0,11277.0,2711.0,2843.0,6345.0,2331.0
2021-10-02,1269.0,2840.0,5106.0,17309.0,9649.0,8888.0,2371.0,2892.0,5379.0,2117.0
2021-10-09,1040.0,2737.0,4959.0,13598.0,9609.0,7396.0,2138.0,3187.0,4960.0,1894.0
2021-10-16,1476.0,2760.0,4840.0,9954.0,8969.0,6056.0,2069.0,3167.0,4712.0,1758.0
2021-10-23,1488.0,2502.0,4281.0,8401.0,8044.0,5157.0,1740.0,3255.0,4839.0,1594.0
2021-10-30,1142.0,2218.0,3851.0,7307.0,7454.0,4277.0,1883.0,3214.0,5207.0,1565.0
2021-11-06,1088.0,2178.0,3546.0,6193.0,7810.0,3614.0,1790.0,3196.0,5296.0,1475.0
2021-11-13,1242.0,2448.0,3582.0,6481.0,9747.0,3813.0,2023.0,3307.0,5106.0,1325.0
2021-11-20,1463.0,3043.0,4218.0,6270.0,11294.0,3902.0,2372.0,3253.0,5032.0,1135.0
2021-11-27,1751.0,3502.0,4823.0,6126.0,12928.0,3948.0,2536.0,2971.0,4890.0,1077.0
2021-12-04,2146.0,4230.0,5741.0,7042.0,14857.0,4738.0,3180.0,2882.0,5391.0,1050.0
2021-12-11,2778.0,4895.0,6595.0,8047.0,16349.0,5159.0,3541.0,2672.0,5563.0,1093.0
2021-12-18,2921.0,5357.0,6733.0,8386.0,15843.0,5007.0,3448.0,2137.0,5274.0,944.0
2021-12-25,2820.0,7394.0,7120.0,11292.0,15711.0,6312.0,3282.0,2149.0,5670.0,1051.0
2022-01-01,3947.0,13991.0,11229.0,22469.0,19430.0,11996.0,4062.0,2739.0,9553.0,1490.0
2022-01-08,5510.0,18655.0,14689.0,34747.0,23380.0,17390.0,4955.0,3834.0,15815.0,2326.0
2022-01-15,6137.0,17488.0,14705.0,38807.0,23857.0,21582.0,5772.0,4576.0,20328.0,2901.0
2022-01-22,5192.0,12865.0,12111.0,38291.0,20259.0,22781.0,5908.0,4687.0,20982.0,3470.0
2022-01-29,4034.0,9503.0,9793.0,35702.0,16573.0,21455.0,5507.0,4406.0,19032.0,3381.0
2022-02-05,2684.0,6350.0,7326.0,28457.0,12717.0,17283.0,4356.0,3570.0,14606.0,2935.0
2022-02-12,1945.0,4258.0,5492.0,21009.0,9891.0,12421.0,3370.0,2619.0,11074.0,2279.0
2022-02-19,1348.0,3236.0,3941.0,14351.0,6546.0,8268.0,2276.0,1912.0,7826.0,1772.0
2022-02-26,976.0,2222.0,3034.0,9745.0,4763.0,5353.0,1693.0,1302.0,5474.0,1332.0
2022-03-05,718.0,1818.0,2286.0,6716.0,3488.0,3786.0,1131.0,941.0,4276.0,997.0
2022-03-12,607.0,1929.0,1578.0,4948.0,2568.0,2772.0,816.0,711.0,3118.0,740.0
2022-03-19,546.0,1207.0,1234.0,3528.0,2136.0,2267.0,634.0,478.0,2350.0,515.0
2022-03-26,541.0,1098.0,928.0,2705.0,1830.0,1685.0,545.0,370.0,1955.0,403.0
2022-04-02,628.0,1238.0,891.0,2584.0,1546.0,1481.0,464.0,359.0,1549.0,338.0
