date,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10
2020-08-08,2.275759,2.741072,4.949173,21.603225,4.806751,20.143084,7.177726,6.260097,14.643558,3.221569
2020-08-15,1.794222,2.915702,4.617314,20.536364,5.033663,18.321947,8.078433,5.552297,12.916982,3.04523
2020-08-22,2.941996,4.275324,4.483294,20.578061,5.580143,17.480207,9.188606,4.199613,12.319246,3.282609
2020-08-29,3.199256,3.261844,4.508821,19.567274,5.691708,15.909561,9.886829,4.820904,12.581858,2.482303
2020-09-05,2.869435,3.395935,4.448193,16.982076,5.519633,14.210284,10.061384,5.056838,12.483868,2.794287
2020-09-12,1.899764,3.389699,4.176962,14.921682,6.253315,12.817916,9.977598,5.033244,10.363374,2.448392
2020-09-19,2.183409,3.427119,4.014223,12.362365,5.515851,13.384341,11.024931,6.401657,9.346243,2.936714
2020-09-26,2.526422,3.642289,4.084424,11.562938,5.956438,13.598725,12.526109,8.501464,8.979762,3.092706
2020-10-03,3.047538,4.84599,4.70347,14.967692,7.679078,13.959793,13.789892,10.373202,7.611828,2.821416
2020-10-10,3.33778,5.366763,5.612892,17.761374,9.817723,16.631697,16.834141,12.276397,7.6863,3.343649
2020-10-17,3.555461,5.981087,5.836259,16.956195,13.003944,19.682722,19.222062,14.305424,7.611828,3.906576
2020-10-24,4.577904,8.575594,7.304099,17.886464,15.721215,22.842067,19.550226,16.515332,6.957258,4.449156
2020-10-31,5.554171,9.860374,8.092265,20.073386,18.574632,22.411042,23.271751,19.779077,7.433487,4.957825
2020-11-07,7.26264,10.852025,10.498246,20.080575,23.990264,25.845702,31.357166,25.543714,8.913129,5.934469
2020-11-14,10.778523,15.754147,14.719882,23.328608,31.644759,30.289096,40.385181,30.120821,11.366787,8.267562
2020-11-21,13.68094,18.214562,19.260613,25.1532,35.838848,36.465616,44.867769,33.997992,15.358882,9.780004
2020-11-28,14.848503,20.235284,23.345037,26.969165,35.799139,35.70286,38.388265,31.929643,20.050621,11.66547
2020-12-05,20.006891,25.938834,27.936823,32.025973,35.45688,37.654884,36.328509,30.506178,25.820246,11.984235
2020-12-12,23.338074,29.387782,29.513155,34.599668,33.675621,39.17137,33.821891,27.879454,32.538409,11.265317
2020-12-19,22.071565,30.650734,29.912025,37.69673,30.93566,41.583755,30.337762,23.727028,39.09195,11.231406
2020-12-26,23.984522,31.938632,28.354838,40.179842,26.526004,44.772438,27.782268,19.291481,40.348176,10.37006
2021-01-02,23.568948,32.415747,28.306974,45.613359,26.1932,52.011852,27.321441,18.646597,41.651437,10.64135
2021-01-09,24.630969,35.1537,29.382326,49.75859,25.892542,56.071611,28.089486,18.198324,44.216803,10.424318
2021-01-16,24.439673,34.651638,27.879386,47.193522,22.86705,52.896469,25.806298,17.435472,39.719083,9.061086
2021-01-23,21.662588,33.273306,24.682048,41.86209,19.068166,47.374384,20.78608,14.698646,35.466336,7.494386
2021-01-30,19.136165,27.136299,22.132473,36.286229,15.834671,41.367115,16.841123,12.410093,29.108775,7.304483
2021-02-06,16.405255,27.101997,19.25104,31.292685,13.433186,35.305685,14.676634,11.411308,23.035383,6.443137
2021-02-13,12.955336,25.26526,15.890963,26.13523,10.731043,27.626219,11.108718,9.48452,17.53033,5.419018
2021-02-20,10.580631,20.372494,13.341389,22.250244,9.051895,19.703032,10.089313,8.70594,13.248187,5.100252
2021-02-27,10.257407,21.569959,12.349001,18.776474,7.955154,19.732369,9.174642,8.006004,10.431967,4.293164
2021-03-06,9.709905,19.003517,10.533347,15.512625,7.134489,15.810267,7.540801,6.897117,8.446699,3.709891
2021-03-13,9.320718,18.99728,10.590784,15.748428,7.448384,13.616779,6.647077,6.480302,7.072885,3.716673
2021-03-20,8.832584,19.449448,11.11091,14.526282,8.093192,11.942326,6.528379,6.684777,6.610375,4.042221
2021-03-27,9.835237,21.401565,12.483021,14.340803,10.292347,11.312713,6.290983,6.637591,5.840177,3.865882
2021-04-03,10.633402,21.622971,13.899806,14.025921,12.996381,10.768854,6.62613,6.826337,5.544249,4.510196
2021-04-10,11.200692,20.253995,15.38041,14.624054,16.322531,10.890715,7.450033,8.35204,5.203245,5.792041
2021-04-17,11.134728,20.384967,15.594204,15.47668,17.665094,11.858829,7.086957,7.667833,5.503093,5.296937
