date,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10
2020-03-14,-3.11,2.48,-0.07,10.08,-0.18,14.24,1.92,-2.45,9.67,-0.6
2020-03-21,-3.23,2.93,3.35,13.69,-0.83,15.69,2.35,-2.82,6.16,-0.18
2020-03-28,-4.22,2.22,3.03,13.98,1.82,16.86,6.36,-2.06,5.39,2.13
2020-04-04,1.53,5.34,2.94,9.93,1.62,11.66,1.95,-5.0,7.26,1.57
2020-04-11,-0.75,4.82,3.15,12.69,1.55,15.41,3.7,-2.59,7.21,2.45
2020-04-18,-2.4,3.01,0.81,11.46,-2.96,9.58,-2.05,-6.78,7.79,-0.26
2020-04-25,-3.14,2.73,1.79,13.1,0.17,15.85,5.55,-0.23,9.16,6.5
2020-05-02,2.93,8.15,7.02,11.42,5.13,12.85,7.76,1.67,10.73,6.16
2020-05-09,0.32,4.84,3.52,11.54,-0.84,14.74,5.86,-0.57,9.8,3.99
2020-05-16,0.68,5.59,4.03,12.36,4.21,15.68,7.28,1.83,9.87,7.24
2020-05-23,5.46,9.9,9.58,18.48,10.98,18.35,13.23,4.21,8.76,7.79
2020-05-30,13.12,15.44,16.3,20.33,15.65,18.17,15.45,6.66,10.31,8.49
2020-06-06,10.14,13.2,12.59,19.23,12.25,20.35,16.49,6.58,11.64,7.52
2020-06-13,11.01,13.87,13.89,20.33,11.96,17.12,14.7,4.39,5.51,9.65
2020-06-20,12.33,14.67,13.61,17.97,11.31,18.49,14.88,5.27,10.09,9.46
2020-06-27,16.05,18.13,17.67,21.08,15.53,21.33,17.12,7.92,11.35,11.44
2020-07-04,17.36,19.26,17.89,21.64,18.16,22.34,20.79,7.62,12.32,9.41
2020-07-11,18.8,21.68,20.9,22.19,18.9,22.55,20.16,7.74,13.54,10.13
2020-07-18,16.88,18.7,18.03,21.7,17.42,22.53,19.68,8.32,13.89,10.19
2020-07-25,18.23,21.73,21.4,22.46,18.54,23.0,20.99,10.44,13.1,11.97
2020-08-01,17.42,20.83,20.43,22.6,17.99,22.72,19.72,10.68,13.1,11.25
2020-08-08,16.9,20.54,20.24,21.7,14.51,21.25,15.77,7.51,13.35,11.74
2020-08-15,17.74,21.57,21.47,22.55,17.41,22.27,20.54,5.15,12.98,8.67
2020-08-22,14.36,18.23,17.99,21.06,14.2,19.74,15.52,8.2,16.78,13.06
2020-08-29,15.0,19.58,20.46,23.12,19.25,21.63,19.23,9.1,15.84,10.51
2020-09-05,13.49,17.37,18.23,22.43,13.36,22.65,15.31,4.29,14.04,10.58
2020-09-12,14.81,18.41,18.16,20.65,14.25,20.86,15.48,1.24,13.42,6.23
2020-09-19,8.14,12.44,11.79,19.98,10.19,19.62,12.43,2.55,12.23,12.15
2020-09-26,6.27,9.62,9.13,16.51,10.3,18.12,13.09,3.22,13.52,11.09
