,weight
01,0.01510842
02,0.00216907
04,0.02197838
05,0.00907289
06,0.11524052
08,0.01738318
09,0.01069789
10,0.00305184
11,0.00200808
12,0.06687178
13,0.03261921
15,0.00424446
16,0.00581073
17,0.03711602
18,0.02029512
19,0.00948479
20,0.00869674
21,0.01338621
22,0.01352698
23,0.00412788
24,0.01827825
25,0.02070681
26,0.02968545
27,0.01697003
28,0.00869421
29,0.01832528
30,0.00335032
31,0.0058511
32,0.00944685
33,0.00414661
34,0.02747789
35,0.0062533
36,0.05788236
37,0.03204623
38,0.00231848
39,0.03485719
40,0.01198928
41,0.01252026
42,0.0383345
44,0.00324133
45,0.01589242
46,0.00271891
47,0.02107677
48,0.09021427
49,0.01010803
50,0.00191489
51,0.02577689
53,0.02310679
54,0.00523503
55,0.0174818
56,0.00172736
72,0.00948091
