date,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8,Region 9,Region 10
2020-03-14,8.5,14.8,13.4,10.1,6.4,11.5,6.7,8.2,8.8,6.8
2020-03-21,8.8,13.8,11.9,9.1,7.6,14.0,5.1,4.8,6.5,9.9
2020-03-28,18.9,33.3,15.4,13.2,14.5,13.8,9.0,5.5,7.0,8.8
2020-04-04,27.7,32.5,20.0,13.9,15.6,14.5,10.7,6.2,9.9,8.5
2020-04-11,30.2,28.3,27.9,14.4,15.8,12.1,11.7,6.1,12.1,7.7
2020-04-18,25.0,25.6,28.4,14.3,14.1,11.7,20.9,6.7,12.1,6.7
2020-04-25,19.1,18.8,27.5,13.5,16.1,8.6,24.5,6.8,8.8,5.9
2020-05-02,17.0,12.9,18.4,12.1,13.1,7.3,20.2,5.5,7.1,6.1
2020-05-09,13.6,8.5,16.6,9.1,10.8,5.8,16.8,4.7,6.7,4.9
2020-05-16,8.9,5.0,13.9,8.2,7.8,6.6,15.7,4.6,4.9,3.4
2020-05-23,6.6,5.1,11.5,6.2,6.7,5.1,13.3,4.7,4.2,3.3
2020-05-30,4.6,3.8,8.8,5.9,5.3,5.4,10.4,4.6,3.9,3.4
2020-06-06,3.9,3.1,6.1,6.9,3.9,6.3,7.5,4.4,3.1,3.9
2020-06-13,3.1,3.4,5.4,8.0,3.4,8.3,8.4,3.8,3.2,4.7
2020-06-20,2.1,3.2,4.1,9.2,2.9,9.3,6.1,4.5,4.6,4.3
2020-06-27,1.6,3.1,3.5,11.8,3.1,12.6,6.4,4.6,5.7,4.7
2020-07-04,1.4,3.5,3.5,13.5,3.7,14.3,6.5,4.8,6.0,4.6
2020-07-11,1.2,4.4,3.7,15.8,4.7,14.0,8.1,5.4,6.6,5.2
2020-07-18,1.2,6.0,3.5,15.6,4.8,13.2,8.0,5.2,6.1,4.8
2020-07-25,1.1,6.3,3.7,15.2,5.2,13.4,8.1,5.5,6.5,5.1
2020-08-01,0.9,3.7,3.6,15.0,5.5,11.1,8.6,5.2,6.8,4.8
2020-08-08,0.9,5.3,3.7,13.6,5.4,10.5,7.4,4.6,6.2,3.9
2020-08-15,0.9,5.8,4.1,11.5,5.1,9.1,10.4,4.5,6.5,3.5
2020-08-22,0.9,5.7,4.2,10.4,4.8,8.0,11.5,5.2,5.5,3.2
2020-08-29,0.8,6.1,3.9,9.5,4.8,9.8,10.1,6.3,5.3,3.4
2020-09-05,0.8,4.6,4.3,8.4,5.0,9.0,7.9,5.6,4.4,3.3
2020-09-12,1.1,5.9,4.0,7.0,5.4,6.7,6.7,5.7,4.3,2.3
2020-09-19,0.9,3.5,3.6,5.9,6.4,7.7,7.1,6.8,3.5,3.2
2020-09-26,1.1,3.7,2.6,5.0,7.2,7.1,7.7,7.2,3.5,3.5
2020-10-03,1.3,3.2,3.1,5.9,7.6,6.5,7.5,7.3,3.0,4.3
2020-10-10,1.4,3.3,3.2,5.7,9.0,7.4,9.7,7.9,3.0,4.4
2020-10-17,1.6,4.3,3.6,6.3,10.6,8.6,10.4,9.2,3.3,4.3
2020-10-24,2.0,6.0,4.0,6.9,11.3,9.7,12.7,9.8,3.3,5.2
2020-10-31,2.9,5.4,5.6,7.9,13.7,10.2,16.3,11.6,3.7,6.2
2020-11-07,5.3,6.6,6.8,9.2,16.8,13.1,28.4,13.6,5.2,8.0
2020-11-14,6.4,7.3,7.3,9.5,17.7,13.1,24.6,14.9,5.7,9.3
2020-11-21,6.1,9.4,8.2,9.0,14.0,12.7,18.5,15.1,7.1,10.2
2020-11-28,6.5,11.2,9.1,11.3,14.4,14.9,17.9,15.3,7.5,10.6
2020-12-05,7.5,10.5,10.9,13.4,15.3,15.3,17.2,15.1,8.5,12.2
2020-12-12,6.5,9.9,11.4,13.3,13.8,14.4,14.8,12.2,10.2,9.5
2020-12-19,5.9,9.8,9.6,13.5,12.5,13.4,13.5,11.2,10.5,9.0
2020-12-26,6.2,10.2,10.3,14.9,11.2,15.8,15.4,11.3,10.0,9.3
2021-01-02,7.1,10.7,13.4,18.3,14.0,17.5,14.8,13.4,11.4,9.8
2021-01-09,7.1,10.0,11.0,17.9,12.9,17.2,15.0,13.4,10.7,8.5
2021-01-16,5.9,8.3,9.1,15.1,9.8,14.0,10.6,5.4,9.1,6.9
2021-01-23,5.0,8.8,8.6,14.3,8.6,11.8,9.8,4.4,7.8,5.9
2021-01-30,4.3,7.6,6.9,12.2,7.3,10.9,8.4,3.2,6.0,5.3
2021-02-06,4.3,7.8,7.1,11.0,5.9,8.9,8.2,2.7,4.9,4.6
2021-02-13,3.7,6.9,5.2,10.2,4.8,7.6,7.2,2.6,3.8,4.0
2021-02-20,3.3,5.8,5.7,7.6,3.8,7.8,6.1,2.4,3.2,3.5
2021-02-27,3.4,5.3,5.1,6.8,3.7,6.4,5.7,2.2,2.7,2.9
2021-03-06,4.0,5.6,4.2,8.2,3.3,4.6,3.9,2.0,2.4,2.8
2021-03-13,3.8,6.0,3.7,7.2,3.3,4.5,3.8,1.9,2.5,2.8
2021-03-20,4.2,6.0,4.3,7.2,3.7,3.7,3.8,2.4,2.2,3.0
2021-03-27,4.9,6.1,4.7,7.6,4.3,3.8,4.0,2.6,2.2,3.6
2021-04-03,5.2,6.2,5.0,7.2,5.2,3.8,4.1,3.0,2.5,3.9
2021-04-10,4.4,6.1,5.1,7.7,5.9,3.5,4.2,3.2,2.2,4.3
2021-04-17,4.0,6.0,5.2,8.0,6.0,3.6,4.7,3.1,2.2,5.1
2021-04-24,3.5,4.7,4.4,8.2,4.7,3.3,4.0,3.1,2.2,5.9
2021-05-01,3.0,4.5,4.2,7.7,4.5,3.5,4.5,3.1,2.0,5.7
2021-05-08,2.3,3.2,3.2,7.3,4.1,3.3,4.3,2.7,1.9,5.3
2021-05-15,1.8,2.6,2.8,5.4,3.3,3.3,3.7,2.1,1.6,4.8
2021-05-22,1.6,2.4,2.8,5.4,2.7,2.8,3.7,1.9,1.5,4.4
2021-05-29,1.3,2.2,2.2,4.5,2.0,3.0,3.6,1.4,1.6,3.9
2021-06-05,0.9,1.5,1.6,3.8,1.7,3.0,4.3,1.3,1.4,3.5
2021-06-12,0.8,1.5,1.6,3.8,1.3,2.8,5.7,1.6,1.4,3.0
2021-06-19,0.6,1.1,1.5,4.0,1.1,3.0,6.7,1.4,1.7,3.2
2021-06-26,0.5,1.4,1.3,4.9,1.0,3.3,9.6,1.6,2.5,2.6
2021-07-03,0.6,1.4,1.7,6.7,1.4,3.9,12.9,1.6,2.8,2.6
2021-07-10,0.9,1.4,2.8,8.7,2.0,5.9,16.1,2.0,5.6,3.0
2021-07-17,1.3,1.7,3.8,12.6,2.6,7.2,17.9,2.3,6.8,3.9
2021-07-24,2.0,2.9,4.7,16.6,4.3,11.4,17.9,2.8,8.7,4.9
2021-07-31,2.6,3.1,5.4,19.5,6.9,12.8,21.3,3.9,9.9,7.3
2021-08-07,3.2,3.1,6.6,20.7,7.3,16.4,18.1,4.4,9.9,8.4
2021-08-14,3.7,3.6,7.6,22.1,7.8,15.0,17.4,5.0,9.5,9.7
