date,01,02,04,05,06,08,09,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,53,54,55,56,72
2021-01-12,0.15,0.74,0.11,0,0.25,0.63,0.12,0.29,0,0.19,0.07,0,0.24,0.5,0.35,0.19,0.33,0.14,0.39,0.34,0.11,0.28,0.19,0.17,0.16,0.36,0.55,0.44,0.28,0,0.16,0.54,0.19,0.18,0.76,0,0.44,0.11,0.08,0.39,0.08,0.83,0.26,0.35,0.14,0,0,0.23,0,0.19,0.37,0.24
2021-01-13,0.19,0.84,0.17,0.43,0.34,0.72,0.15,0.42,0.18,0.25,0.08,0,0.32,0.59,0.48,0.24,0.43,0.17,0.47,0.39,0.21,0.36,0.32,0.18,0.19,0.36,0.64,0.54,0.28,0,0.243333,0.59,0.23,0.34,0.84,0,0.56,0.17,0.14,0.52,0.24,0.9,0.35,0.4,0.19,0,0,0.3,0,0.19,0.44,0.36
2021-01-14,0.235,1.065,0.23,0.525,0.43,0.77,0.315,0.485,0.675,0.3,0.145,0,0.405,0.655,0.52,0.29,0.445,0.205,0.56,0.505,0.235,0.435,0.405,0.335,0.235,0.48,0.705,0.605,0.39,0.21,0.326667,0.74,0.305,0.375,0.915,0,0.645,0.235,0.33,0.645,0.31,0.995,0.45,0.47,0.26,0,0,0.355,0,0.24,0.46,0.435
2021-01-15,0.28,1.29,0.29,0.62,0.52,0.82,0.48,0.55,1.17,0.35,0.21,0.51,0.49,0.72,0.56,0.34,0.46,0.24,0.65,0.62,0.26,0.51,0.49,0.49,0.28,0.6,0.77,0.67,0.5,0.42,0.41,0.89,0.38,0.41,0.99,0.12,0.73,0.3,0.52,0.77,0.38,1.09,0.55,0.54,0.33,0.66,0.33,0.41,1.18,0.29,0.48,0.51
2021-01-16,0.2925,1.3375,0.3225,0.645,0.555,0.8325,0.5225,0.5875,1.2375,0.3825,0.225,0.5825,0.51,0.745,0.61,0.355,0.48,0.2525,0.67,0.6525,0.285,0.5325,0.525,0.555,0.29,0.635,0.78,0.6825,0.51,0.445,0.43,0.945,0.4175,0.435,1.025,0.1475,0.7425,0.3675,0.545,0.81,0.4325,1.095,0.5925,0.56,0.3675,0.74,0.35,0.455,1.215,0.32,0.5,0.55
2021-01-17,0.305,1.385,0.355,0.67,0.59,0.845,0.565,0.625,1.305,0.415,0.24,0.655,0.53,0.77,0.66,0.37,0.5,0.265,0.69,0.685,0.31,0.555,0.56,0.62,0.3,0.67,0.79,0.695,0.52,0.47,0.45,1,0.455,0.46,1.06,0.175,0.755,0.435,0.57,0.85,0.485,1.1,0.635,0.58,0.405,0.82,0.37,0.5,1.25,0.35,0.52,0.59
2021-01-18,0.3175,1.4325,0.3875,0.695,0.625,0.8575,0.6075,0.6625,1.3725,0.4475,0.255,0.7275,0.55,0.795,0.71,0.385,0.52,0.2775,0.71,0.7175,0.335,0.5775,0.595,0.685,0.31,0.705,0.8,0.7075,0.53,0.495,0.47,1.055,0.4925,0.485,1.095,0.2025,0.7675,0.5025,0.595,0.89,0.5375,1.105,0.6775,0.6,0.4425,0.9,0.39,0.545,1.285,0.38,0.54,0.63
2021-01-19,0.33,1.48,0.42,0.72,0.66,0.87,0.65,0.7,1.44,0.48,0.27,0.8,0.57,0.82,0.76,0.4,0.54,0.29,0.73,0.75,0.36,0.6,0.63,0.75,0.32,0.74,0.81,0.72,0.54,0.52,0.49,1.11,0.53,0.51,1.13,0.23,0.78,0.57,0.62,0.93,0.59,1.11,0.72,0.62,0.48,0.98,0.41,0.59,1.32,0.41,0.56,0.67
2021-01-20,0.37,1.54,0.48,0.88,0.69,0.89,0.7,0.71,1.5,0.52,0.33,0.98,0.6,0.85,0.87,0.44,0.55,0.31,0.75,0.79,0.4,0.61,0.71,0.75,0.34,0.8,0.85,0.75,0.56,0.59,0.56,1.18,0.55,0.56,1.17,0.26,0.82,0.57,0.67,1.01,0.6,1.12,0.76,0.65,0.51,0.99,0.44,0.65,1.43,0.47,0.59,0.73
