,other
2020-05-11,1.0
2020-05-12,1.0
2020-05-13,1.0
2020-05-14,1.0
2020-05-15,1.0
2020-05-16,1.0
2020-05-17,1.0
2020-05-18,1.0
2020-05-19,1.0
2020-05-20,1.0
2020-05-21,1.0
2020-05-22,1.0
2020-05-23,1.0
2020-05-24,1.0
2020-05-25,1.0
2020-05-26,1.0
2020-05-27,1.0
2020-05-28,1.0
2020-05-29,1.0
2020-05-30,1.0
2020-05-31,1.0
2020-06-01,1.0
2020-06-02,1.0
2020-06-03,1.0
2020-06-04,1.0
2020-06-05,1.0
2020-06-06,1.0
2020-06-07,1.0
2020-06-08,1.0
2020-06-09,1.0
2020-06-10,1.0
2020-06-11,1.0
2020-06-12,1.0
2020-06-13,1.0
2020-06-14,1.0
2020-06-15,1.0
2020-06-16,1.0
2020-06-17,1.0
2020-06-18,1.0
2020-06-19,1.0
2020-06-20,1.0
2020-06-21,1.0
2020-06-22,1.0
2020-06-23,1.0
2020-06-24,1.0
2020-06-25,1.0
2020-06-26,1.0
2020-06-27,1.0
2020-06-28,1.0
2020-06-29,1.0
2020-06-30,1.0
2020-07-01,1.0
2020-07-02,1.0
2020-07-03,1.0
2020-07-04,1.0
2020-07-05,1.0
2020-07-06,1.0
2020-07-07,1.0
2020-07-08,1.0
2020-07-09,1.0
2020-07-10,1.0
2020-07-11,1.0
2020-07-12,1.0
2020-07-13,1.0
2020-07-14,1.0
2020-07-15,1.0
2020-07-16,1.0
2020-07-17,1.0
2020-07-18,1.0
2020-07-19,1.0
2020-07-20,1.0
2020-07-21,1.0
2020-07-22,1.0
2020-07-23,1.0
2020-07-24,1.0
2020-07-25,1.0
2020-07-26,1.0
2020-07-27,1.0
2020-07-28,1.0
2020-07-29,1.0
2020-07-30,1.0
2020-07-31,1.0
2020-08-01,1.0
2020-08-02,1.0
2020-08-03,1.0
2020-08-04,1.0
2020-08-05,1.0
2020-08-06,1.0
2020-08-07,1.0
2020-08-08,1.0
2020-08-09,1.0
2020-08-10,1.0
2020-08-11,1.0
2020-08-12,1.0
2020-08-13,1.0
2020-08-14,1.0
2020-08-15,1.0
2020-08-16,1.0
2020-08-17,1.0
2020-08-18,1.0
2020-08-19,1.0
2020-08-20,1.0
2020-08-21,1.0
2020-08-22,1.0
2020-08-23,1.0
2020-08-24,1.0
2020-08-25,1.0
2020-08-26,1.0
2020-08-27,1.0
2020-08-28,1.0
2020-08-29,1.0
2020-08-30,1.0
2020-08-31,1.0
2020-09-01,1.0
2020-09-02,1.0
2020-09-03,1.0
2020-09-04,1.0
2020-09-05,1.0
2020-09-06,1.0
2020-09-07,1.0
2020-09-08,1.0
2020-09-09,1.0
2020-09-10,1.0
2020-09-11,1.0
2020-09-12,1.0
2020-09-13,1.0
2020-09-14,1.0
2020-09-15,1.0
2020-09-16,1.0
2020-09-17,1.0
2020-09-18,1.0
2020-09-19,1.0
2020-09-20,1.0
2020-09-21,1.0
2020-09-22,1.0
2020-09-23,1.0
2020-09-24,1.0
2020-09-25,1.0
2020-09-26,1.0
2020-09-27,1.0
2020-09-28,1.0
2020-09-29,1.0
2020-09-30,1.0
2020-10-01,1.0
2020-10-02,1.0
2020-10-03,1.0
2020-10-04,1.0
2020-10-05,1.0
2020-10-06,1.0
2020-10-07,1.0
2020-10-08,1.0
2020-10-09,1.0
2020-10-10,1.0
2020-10-11,1.0
2020-10-12,1.0
2020-10-13,0.999997
2020-10-14,0.99999
2020-10-15,0.999979
2020-10-16,0.999964
2020-10-17,0.999946
2020-10-18,0.999926
2020-10-19,0.999904
2020-10-20,0.99988
2020-10-21,0.999856
2020-10-22,0.999832
2020-10-23,0.999808
2020-10-24,0.999785
2020-10-25,0.999763
2020-10-26,0.999744
2020-10-27,0.999724
2020-10-28,0.999703
2020-10-29,0.999679
2020-10-30,0.999655
2020-10-31,0.999631
2020-11-01,0.999607
2020-11-02,0.999583
2020-11-03,0.999561
2020-11-04,0.999541
2020-11-05,0.999523
2020-11-06,0.999508
2020-11-07,0.999497
2020-11-08,0.99949
2020-11-09,0.999487
2020-11-10,0.999491
2020-11-11,0.999502
2020-11-12,0.999518
2020-11-13,0.999538
2020-11-14,0.999562
2020-11-15,0.999588
2020-11-16,0.999615
2020-11-17,0.999643
2020-11-18,0.999669
2020-11-19,0.999693
2020-11-20,0.999713
2020-11-21,0.999729
2020-11-22,0.99974
2020-11-23,0.999744
2020-11-24,0.999744
2020-11-25,0.999744
2020-11-26,0.999744
2020-11-27,0.999744
2020-11-28,0.999744
2020-11-29,0.999744
2020-11-30,0.999744
2020-12-01,0.999744
2020-12-02,0.999744
2020-12-03,0.999744
2020-12-04,0.999744
2020-12-05,0.999744
2020-12-06,0.999744
2020-12-07,0.999744
2020-12-08,0.999742
2020-12-09,0.999738
2020-12-10,0.999731
2020-12-11,0.999722
2020-12-12,0.99971
2020-12-13,0.999695
2020-12-14,0.999677
2020-12-15,0.999658
2020-12-16,0.999635
2020-12-17,0.99961
2020-12-18,0.999583
2020-12-19,0.999554
2020-12-20,0.999522
2020-12-21,0.999487
2020-12-22,0.99938
2020-12-23,0.999141
2020-12-24,0.998787
2020-12-25,0.998335
2020-12-26,0.997804
2020-12-27,0.997211
2020-12-28,0.996572
2020-12-29,0.995906
2020-12-30,0.99523
2020-12-31,0.994562
2021-01-01,0.993918
2021-01-02,0.993316
2021-01-03,0.992774
2021-01-04,0.99231
2021-01-05,0.991913
2021-01-06,0.991558
2021-01-07,0.991237
2021-01-08,0.990941
2021-01-09,0.99066
2021-01-10,0.990387
2021-01-11,0.990113
2021-01-12,0.989829
2021-01-13,0.989527
2021-01-14,0.989198
2021-01-15,0.988833
2021-01-16,0.988424
2021-01-17,0.987962
2021-01-18,0.987439
2021-01-19,0.986801
2021-01-20,0.986009
2021-01-21,0.985073
2021-01-22,0.984004
2021-01-23,0.982814
2021-01-24,0.981514
2021-01-25,0.980114
2021-01-26,0.978626
2021-01-27,0.977061
2021-01-28,0.97543
2021-01-29,0.973745
2021-01-30,0.972015
2021-01-31,0.970253
2021-02-01,0.96847
2021-02-02,0.966632
2021-02-03,0.964695
2021-02-04,0.962655
2021-02-05,0.960503
2021-02-06,0.958235
2021-02-07,0.955844
2021-02-08,0.953324
2021-02-09,0.950668
2021-02-10,0.947872
2021-02-11,0.944928
2021-02-12,0.94183
2021-02-13,0.938573
2021-02-14,0.935151
2021-02-15,0.931556
2021-02-16,0.927636
2021-02-17,0.923262
2021-02-18,0.918463
2021-02-19,0.913269
2021-02-20,0.907711
2021-02-21,0.901817
2021-02-22,0.895618
2021-02-23,0.889144
2021-02-24,0.882425
2021-02-25,0.87549
2021-02-26,0.86837
2021-02-27,0.861093
2021-02-28,0.853691
2021-03-01,0.846193
2021-03-02,0.838465
2021-03-03,0.830361
2021-03-04,0.821896
2021-03-05,0.813087
2021-03-06,0.803947
2021-03-07,0.794492
2021-03-08,0.784737
2021-03-09,0.774697
2021-03-10,0.764386
2021-03-11,0.75382
2021-03-12,0.743014
2021-03-13,0.731983
2021-03-14,0.720742
2021-03-15,0.709305
2021-03-16,0.697363
2021-03-17,0.684664
2021-03-18,0.671319
2021-03-19,0.657434
2021-03-20,0.643118
2021-03-21,0.628479
2021-03-22,0.613624
2021-03-23,0.598662
2021-03-24,0.583701
2021-03-25,0.568849
2021-03-26,0.554214
2021-03-27,0.539903
2021-03-28,0.526026
2021-03-29,0.512689
2021-03-30,0.499538
2021-03-31,0.486202
2021-04-01,0.472767
2021-04-02,0.459317
2021-04-03,0.445937
2021-04-04,0.432713
2021-04-05,0.419729
2021-04-06,0.407071
2021-04-07,0.394824
2021-04-08,0.383073
2021-04-09,0.371904
2021-04-10,0.3614
2021-04-11,0.351648
2021-04-12,0.342733
2021-04-13,0.334487
2021-04-14,0.326664
2021-04-15,0.319225
2021-04-16,0.312132
2021-04-17,0.305349
2021-04-18,0.298837
2021-04-19,0.292558
2021-04-20,0.286476
2021-04-21,0.280552
2021-04-22,0.274748
2021-04-23,0.269027
2021-04-24,0.263352
2021-04-25,0.257684
2021-04-26,0.251987
2021-04-27,0.24615
2021-04-28,0.24014
2021-04-29,0.234025
2021-04-30,0.227878
2021-05-01,0.221769
2021-05-02,0.215769
2021-05-03,0.209949
2021-05-04,0.204381
2021-05-05,0.199134
2021-05-06,0.19428
2021-05-07,0.189889
2021-05-08,0.186034
2021-05-09,0.182784
2021-05-10,0.18021
2021-05-11,0.178111
2021-05-12,0.17622
2021-05-13,0.174507
2021-05-14,0.172945
2021-05-15,0.171506
2021-05-16,0.170162
2021-05-17,0.168884
2021-05-18,0.167645
2021-05-19,0.166416
2021-05-20,0.16517
2021-05-21,0.163878
2021-05-22,0.162512
2021-05-23,0.161044
2021-05-24,0.159446
2021-05-25,0.157761
2021-05-26,0.156047
2021-05-27,0.154301
2021-05-28,0.152519
2021-05-29,0.150699
2021-05-30,0.148837
2021-05-31,0.146929
2021-06-01,0.144972
2021-06-02,0.142963
2021-06-03,0.140899
2021-06-04,0.138775
2021-06-05,0.136589
2021-06-06,0.134338
2021-06-07,0.132017
2021-06-08,0.129585
2021-06-09,0.127009
2021-06-10,0.124304
2021-06-11,0.121485
2021-06-12,0.118567
2021-06-13,0.115564
2021-06-14,0.11249
2021-06-15,0.109361
2021-06-16,0.106191
2021-06-17,0.102994
2021-06-18,0.099785
2021-06-19,0.096579
2021-06-20,0.09339
2021-06-21,0.090233
2021-06-22,0.086994
2021-06-23,0.083576
2021-06-24,0.080019
2021-06-25,0.076362
2021-06-26,0.072646
2021-06-27,0.068909
2021-06-28,0.065192
2021-06-29,0.061535
2021-06-30,0.057977
2021-07-01,0.054557
2021-07-02,0.051317
2021-07-03,0.048295
2021-07-04,0.045531
2021-07-05,0.043066
2021-07-06,0.040801
2021-07-07,0.038613
2021-07-08,0.036502
2021-07-09,0.034468
2021-07-10,0.032512
2021-07-11,0.030634
2021-07-12,0.028834
2021-07-13,0.027113
2021-07-14,0.025471
2021-07-15,0.023909
2021-07-16,0.022426
2021-07-17,0.021022
2021-07-18,0.019699
2021-07-19,0.018457
2021-07-20,0.017252
2021-07-21,0.016049
2021-07-22,0.014858
2021-07-23,0.01369
2021-07-24,0.012556
2021-07-25,0.011466
2021-07-26,0.010432
2021-07-27,0.009463
2021-07-28,0.008572
2021-07-29,0.007768
2021-07-30,0.007061
2021-07-31,0.006464
2021-08-01,0.005987
2021-08-02,0.00564
2021-08-03,0.005366
2021-08-04,0.005103
2021-08-05,0.004851
2021-08-06,0.004614
2021-08-07,0.004392
2021-08-08,0.004186
2021-08-09,0.003999
2021-08-10,0.003831
2021-08-11,0.003685
2021-08-12,0.003563
2021-08-13,0.003464
2021-08-14,0.003392
2021-08-15,0.003348
2021-08-16,0.003332
2021-08-17,0.003336
2021-08-18,0.003347
2021-08-19,0.003363
2021-08-20,0.003383
2021-08-21,0.003407
2021-08-22,0.003433
2021-08-23,0.003461
2021-08-24,0.003488
2021-08-25,0.003514
2021-08-26,0.003538
2021-08-27,0.003559
2021-08-28,0.003575
2021-08-29,0.003585
2021-08-30,0.003589
2021-08-31,0.003563
2021-09-01,0.003489
2021-09-02,0.003377
2021-09-03,0.003233
2021-09-04,0.003066
2021-09-05,0.002883
2021-09-06,0.002692
2021-09-07,0.002501
2021-09-08,0.002318
2021-09-09,0.00215
2021-09-10,0.002006
2021-09-11,0.001894
2021-09-12,0.001821
2021-09-13,0.001794
2021-09-14,0.001806
2021-09-15,0.001837
2021-09-16,0.001885
2021-09-17,0.001947
2021-09-18,0.002019
2021-09-19,0.002097
2021-09-20,0.002179
2021-09-21,0.002261
2021-09-22,0.002339
2021-09-23,0.002411
2021-09-24,0.002473
2021-09-25,0.002521
2021-09-26,0.002552
2021-09-27,0.002563
2021-09-28,0.002552
2021-09-29,0.002521
2021-09-30,0.002473
2021-10-01,0.002411
2021-10-02,0.002339
2021-10-03,0.002261
2021-10-04,0.002179
2021-10-05,0.002097
2021-10-06,0.002019
2021-10-07,0.001947
2021-10-08,0.001885
2021-10-09,0.001837
2021-10-10,0.001806
2021-10-11,0.001794
2021-10-12,0.001794
2021-10-13,0.001794
2021-10-14,0.001794
2021-10-15,0.001794
2021-10-16,0.001794
2021-10-17,0.001794
2021-10-18,0.001794
2021-10-19,0.001794
2021-10-20,0.001794
2021-10-21,0.001794
2021-10-22,0.001794
2021-10-23,0.001794
2021-10-24,0.001794
2021-10-25,0.001794
2021-10-26,0.0018
2021-10-27,0.001817
2021-10-28,0.001845
2021-10-29,0.001882
2021-10-30,0.001927
2021-10-31,0.00198
2021-11-01,0.002039
2021-11-02,0.002104
2021-11-03,0.002174
2021-11-04,0.002248
2021-11-05,0.002325
2021-11-06,0.002403
2021-11-07,0.002483
2021-11-08,0.002563
2021-11-09,0.002662
2021-11-10,0.002794
2021-11-11,0.002954
2021-11-12,0.003133
2021-11-13,0.003326
2021-11-14,0.003527
2021-11-15,0.003729
2021-11-16,0.003924
2021-11-17,0.004108
2021-11-18,0.004273
2021-11-19,0.004412
2021-11-20,0.00452
2021-11-21,0.00459
2021-11-22,0.004614
2021-11-23,0.004564
2021-11-24,0.004424
2021-11-25,0.004208
2021-11-26,0.003931
2021-11-27,0.003607
2021-11-28,0.003252
2021-11-29,0.00288
2021-11-30,0.002505
2021-12-01,0.002142
2021-12-02,0.001807
2021-12-03,0.001512
2021-12-04,0.001274
2021-12-05,0.001107
2021-12-06,0.001025
2021-12-07,0.000992
2021-12-08,0.000961
2021-12-09,0.000932
2021-12-10,0.000905
2021-12-11,0.00088
2021-12-12,0.000858
2021-12-13,0.000837
2021-12-14,0.00082
2021-12-15,0.000805
2021-12-16,0.000792
2021-12-17,0.000782
2021-12-18,0.000775
2021-12-19,0.000771
2021-12-20,0.000769
2021-12-21,0.000777
2021-12-22,0.000797
2021-12-23,0.00083
2021-12-24,0.000871
2021-12-25,0.000919
2021-12-26,0.000971
2021-12-27,0.001025
2021-12-28,0.00108
2021-12-29,0.001132
2021-12-30,0.00118
2021-12-31,0.001221
2022-01-01,0.001253
2022-01-02,0.001274
2022-01-03,0.001282
2022-01-04,0.001273
2022-01-05,0.00125
2022-01-06,0.001213
2022-01-07,0.001165
2022-01-08,0.001108
2022-01-09,0.001044
2022-01-10,0.000974
2022-01-11,0.000901
2022-01-12,0.000828
2022-01-13,0.000755
2022-01-14,0.000685
2022-01-15,0.00062
2022-01-16,0.000562
2022-01-17,0.000513
2022-01-18,0.000467
2022-01-19,0.00042
2022-01-20,0.000371
2022-01-21,0.000321
2022-01-22,0.000272
2022-01-23,0.000225
2022-01-24,0.000179
2022-01-25,0.000137
2022-01-26,9.9e-05
2022-01-27,6.6e-05
2022-01-28,3.8e-05
2022-01-29,1.8e-05
2022-01-30,5e-06
2022-01-31,0.0
2022-02-01,2e-06
2022-02-02,7e-06
2022-02-03,1.6e-05
2022-02-04,2.8e-05
2022-02-05,4.3e-05
2022-02-06,6.1e-05
2022-02-07,8e-05
2022-02-08,0.000102
2022-02-09,0.000125
2022-02-10,0.000149
2022-02-11,0.000175
2022-02-12,0.000202
2022-02-13,0.000229
2022-02-14,0.000256
2022-02-15,0.000287
2022-02-16,0.000322
2022-02-17,0.000363
2022-02-18,0.000409
2022-02-19,0.000458
2022-02-20,0.000512
2022-02-21,0.000569
2022-02-22,0.000629
2022-02-23,0.000691
2022-02-24,0.000755
2022-02-25,0.000821
2022-02-26,0.000889
2022-02-27,0.000957
2022-02-28,0.001025
2022-03-01,0.001103
2022-03-02,0.001197
2022-03-03,0.001304
2022-03-04,0.00142
2022-03-05,0.001541
2022-03-06,0.001664
2022-03-07,0.001786
2022-03-08,0.001904
2022-03-09,0.002012
2022-03-10,0.002109
2022-03-11,0.00219
2022-03-12,0.002253
2022-03-13,0.002293
2022-03-14,0.002307
2022-03-15,0.002307
2022-03-16,0.002307
2022-03-17,0.002307
2022-03-18,0.002307
2022-03-19,0.002307
2022-03-20,0.002307
